"cc_iso3c","ref_year","variable","value"
"AFG",2021,"wb_gdp_usd",14266499429.8746
"ALB",2022,"wb_gdp_usd",18916378860.5488
"DZA",2022,"wb_gdp_usd",194998449769.085
"ASM",2022,"wb_gdp_usd",871000000
"AND",2022,"wb_gdp_usd",3352031094.22914
"AGO",2022,"wb_gdp_usd",106782770714.619
"ATG",2022,"wb_gdp_usd",1867733333.33333
"ARG",2022,"wb_gdp_usd",631133384439.944
"ARM",2022,"wb_gdp_usd",19513474648.2429
"ABW",2022,"wb_gdp_usd",3544707788.05664
"AUS",2022,"wb_gdp_usd",1692956646855.7
"AUT",2022,"wb_gdp_usd",470941926750.741
"AZE",2022,"wb_gdp_usd",78721058823.5294
"BHS",2022,"wb_gdp_usd",12897400000
"BHR",2022,"wb_gdp_usd",44383297872.3404
"BGD",2022,"wb_gdp_usd",460201265527.977
"BRB",2022,"wb_gdp_usd",5699950000
"BLR",2022,"wb_gdp_usd",72793457588.4367
"BEL",2022,"wb_gdp_usd",583435595579.963
"BLZ",2022,"wb_gdp_usd",2830507575.6841
"BEN",2022,"wb_gdp_usd",17396792699.5489
"BMU",2022,"wb_gdp_usd",7546000000
"BTN",2021,"wb_gdp_usd",2768003872.54065
"BOL",2022,"wb_gdp_usd",44008282877.9606
"BIH",2022,"wb_gdp_usd",24473906673.7086
"BWA",2022,"wb_gdp_usd",20355541962.8512
"BRA",2022,"wb_gdp_usd",1920095779022.73
"BRN",2022,"wb_gdp_usd",16681536466.7183
"BGR",2022,"wb_gdp_usd",90346169914.9349
"BFA",2022,"wb_gdp_usd",18820064797.8379
"BDI",2022,"wb_gdp_usd",3338722827.66241
"CPV",2022,"wb_gdp_usd",2226862134.08787
"KHM",2022,"wb_gdp_usd",29504829319.3169
"CMR",2022,"wb_gdp_usd",43644068310.851
"CAN",2022,"wb_gdp_usd",2161483369422.01
"CYM",2022,"wb_gdp_usd",6844827379.30952
"CAF",2022,"wb_gdp_usd",2382618615.01694
"TCD",2022,"wb_gdp_usd",12704149840.2283
"CHL",2022,"wb_gdp_usd",301024724911.923
"CHN",2022,"wb_gdp_usd",17963171479205.3
"COL",2022,"wb_gdp_usd",343622114560.409
"COM",2022,"wb_gdp_usd",1242519407.27815
"COD",2022,"wb_gdp_usd",64718641221.216
"COG",2022,"wb_gdp_usd",15816996654.5788
"CRI",2022,"wb_gdp_usd",69243626028.6696
"CIV",2022,"wb_gdp_usd",70018715016.8293
"HRV",2022,"wb_gdp_usd",71600049650.195
"CUB",2020,"wb_gdp_usd",107351800000
"CUW",2022,"wb_gdp_usd",3075180834.72417
"CYP",2022,"wb_gdp_usd",29250524418.0855
"CZE",2022,"wb_gdp_usd",290565654835.809
"DNK",2022,"wb_gdp_usd",400167196948.707
"DJI",2022,"wb_gdp_usd",3515108859.95465
"DMA",2022,"wb_gdp_usd",607440740.740741
"DOM",2022,"wb_gdp_usd",113537368176.13
"ECU",2022,"wb_gdp_usd",115049476000
"EGY",2022,"wb_gdp_usd",476747720364.742
"SLV",2022,"wb_gdp_usd",32488720000
"GNQ",2022,"wb_gdp_usd",12029633746.519
"EST",2022,"wb_gdp_usd",38100812958.5196
"SWZ",2022,"wb_gdp_usd",4790922065.6101
"ETH",2022,"wb_gdp_usd",126783471597.671
"FRO",2022,"wb_gdp_usd",3555929833.05051
"FJI",2022,"wb_gdp_usd",4979979546.0123
"FIN",2022,"wb_gdp_usd",282649838009.729
"FRA",2022,"wb_gdp_usd",2779092236505.85
"PYF",2022,"wb_gdp_usd",5814661208.90544
"GAB",2022,"wb_gdp_usd",21071739224.8918
"GMB",2022,"wb_gdp_usd",2187194563.48605
"GEO",2022,"wb_gdp_usd",24780791063.7131
"DEU",2022,"wb_gdp_usd",4082469490797.68
"GHA",2022,"wb_gdp_usd",73766052451.5256
"GRC",2022,"wb_gdp_usd",217581324512.059
"GRL",2021,"wb_gdp_usd",3235809504.29871
"GRD",2022,"wb_gdp_usd",1215379155.67282
"GUM",2021,"wb_gdp_usd",6123000000
"GTM",2022,"wb_gdp_usd",95003330315.8754
"GIN",2022,"wb_gdp_usd",20999229260.4955
"GNB",2022,"wb_gdp_usd",1633559092.08861
"GUY",2022,"wb_gdp_usd",14718388489.2086
"HTI",2022,"wb_gdp_usd",20253551884.6055
"HND",2022,"wb_gdp_usd",31717699764.3621
"HKG",2022,"wb_gdp_usd",359838583490.063
"HUN",2022,"wb_gdp_usd",177337436677.365
"ISL",2022,"wb_gdp_usd",28064529851.3098
"IND",2022,"wb_gdp_usd",3416645826052.87
"IDN",2022,"wb_gdp_usd",1319100220407.72
"IRN",2022,"wb_gdp_usd",413493207349.265
"IRQ",2022,"wb_gdp_usd",264182173793.103
"IRL",2022,"wb_gdp_usd",533140011838.276
"IMN",2020,"wb_gdp_usd",6684229268.50545
"ISR",2022,"wb_gdp_usd",525002447652.773
"ITA",2022,"wb_gdp_usd",2049737165407.98
"JAM",2022,"wb_gdp_usd",17097760723.9201
"JPN",2022,"wb_gdp_usd",4256410760723.75
"JOR",2022,"wb_gdp_usd",48653381780.6397
"KAZ",2022,"wb_gdp_usd",225496328925.494
"KEN",2022,"wb_gdp_usd",113420008178.793
"KIR",2022,"wb_gdp_usd",223353014.294593
