"cc_iso3c","ref_year","variable","value"
"AFG",2020,"db_taxes_time",270
"AGO",2020,"db_taxes_time",287
"ALB",2020,"db_taxes_time",252
"ARE",2020,"db_taxes_time",158
"ARG",2020,"db_taxes_time",311.5
"ARM",2020,"db_taxes_time",264
"ATG",2020,"db_taxes_time",177
"AUS",2020,"db_taxes_time",105
"AUT",2020,"db_taxes_time",131
"AZE",2020,"db_taxes_time",159
"BGD",2020,"db_taxes_time",435
"BDI",2020,"db_taxes_time",232
"BEL",2020,"db_taxes_time",136
"BEN",2020,"db_taxes_time",270
"BFA",2020,"db_taxes_time",270
"BGR",2020,"db_taxes_time",441
"BHR",2020,"db_taxes_time",22.5
"BHS",2020,"db_taxes_time",155
"BIH",2020,"db_taxes_time",411
"BLR",2020,"db_taxes_time",170
"BLZ",2020,"db_taxes_time",147
"BRB",2020,"db_taxes_time",241
"BTN",2020,"db_taxes_time",52
"BWA",2020,"db_taxes_time",120
"CAF",2020,"db_taxes_time",483
"CAN",2020,"db_taxes_time",131
"CHE",2020,"db_taxes_time",63
"CHN",2020,"db_taxes_time",138
"CHL",2020,"db_taxes_time",296
"CIV",2020,"db_taxes_time",187
"COL",2020,"db_taxes_time",255.5
"COM",2020,"db_taxes_time",100
"CPV",2020,"db_taxes_time",180
"CRI",2020,"db_taxes_time",151
"CYP",2020,"db_taxes_time",119.5
"CZE",2020,"db_taxes_time",230
"DEU",2020,"db_taxes_time",218
"DJI",2020,"db_taxes_time",76
"DMA",2020,"db_taxes_time",117
"DNK",2020,"db_taxes_time",132
"DOM",2020,"db_taxes_time",317
"DZA",2020,"db_taxes_time",265
"EGY",2020,"db_taxes_time",370
"ERI",2020,"db_taxes_time",216
"ESP",2020,"db_taxes_time",143
"EST",2020,"db_taxes_time",50
"ETH",2020,"db_taxes_time",300
"FIN",2020,"db_taxes_time",90
"FJI",2020,"db_taxes_time",247
"FRA",2020,"db_taxes_time",139
"FSM",2020,"db_taxes_time",128
"GAB",2018,"db_taxes_time",488
"GBR",2020,"db_taxes_time",114
"GEO",2020,"db_taxes_time",216
"GHA",2020,"db_taxes_time",226
"GIN",2020,"db_taxes_time",400
"GMB",2020,"db_taxes_time",326
"GNB",2020,"db_taxes_time",218
"GNQ",2020,"db_taxes_time",492
"GRC",2020,"db_taxes_time",193
"GRD",2020,"db_taxes_time",140
"GTM",2020,"db_taxes_time",248
"GUY",2020,"db_taxes_time",256
"HKG",2020,"db_taxes_time",34.5
"HND",2020,"db_taxes_time",203
"HRV",2020,"db_taxes_time",206
"HTI",2020,"db_taxes_time",184
"HUN",2020,"db_taxes_time",277
"IND",2020,"db_taxes_time",251.88
"IDN",2020,"db_taxes_time",191
"IRL",2020,"db_taxes_time",81.5
"IRN",2020,"db_taxes_time",216
