"cc_iso3c","ref_year","variable","value"
"ALB",2023,"eige_senior_women",0.5379999999999999
"AUT",2023,"eige_senior_women",0.41600000000000004
"BIH",2023,"eige_senior_women",0.535
"BEL",2023,"eige_senior_women",0.32799999999999996
"BGR",2023,"eige_senior_women",0.552
"CYP",2023,"eige_senior_women",0.5
"CZE",2023,"eige_senior_women",0.282
"DEU",2023,"eige_senior_women",0.385
"DNK",2023,"eige_senior_women",0.29600000000000004
"EST",2023,"eige_senior_women",0.519
"GRC",2023,"eige_senior_women",0.589
"ESP",2023,"eige_senior_women",0.41200000000000003
"FIN",2023,"eige_senior_women",0.542
"FRA",2023,"eige_senior_women",0.355
"HRV",2023,"eige_senior_women",0.62
"HUN",2023,"eige_senior_women",0.18899999999999997
"IRL",2023,"eige_senior_women",0.387
"ISL",2023,"eige_senior_women",0.522
"ITA",2023,"eige_senior_women",0.331
"LIE",2023,"eige_senior_women",0.568
"LTU",2023,"eige_senior_women",0.5329999999999999
"LUX",2023,"eige_senior_women",0.287
"LVA",2023,"eige_senior_women",0.523
"MNE",2023,"eige_senior_women",0.46399999999999997
"MKD",2023,"eige_senior_women",0.45899999999999996
"MLT",2023,"eige_senior_women",0.45299999999999996
"NLD",2023,"eige_senior_women",0.442
"NOR",2023,"eige_senior_women",0.462
"POL",2023,"eige_senior_women",0.40700000000000003
"PRT",2023,"eige_senior_women",0.513
"ROU",2023,"eige_senior_women",0.51
"SRB",2023,"eige_senior_women",0.43200000000000005
"SWE",2023,"eige_senior_women",0.525
"SVN",2023,"eige_senior_women",0.61
"SVK",2023,"eige_senior_women",0.49200000000000005
"TUR",2023,"eige_senior_women",0.17600000000000002
"GBR",2023,"eige_senior_women",0.348
"XKK",2023,"eige_senior_women",0.23
