"cc_iso3c","ref_year","variable","value"
"BEN",2020,"gcb_corrupt_officials",0.46
"BWA",2020,"gcb_corrupt_officials",0.39
"BFA",2020,"gcb_corrupt_officials",0.31
"CMR",2020,"gcb_corrupt_officials",0.54
"CPV",2020,"gcb_corrupt_officials",0.16
"CIV",2020,"gcb_corrupt_officials",0.33
"GAB",2020,"gcb_corrupt_officials",0.75
"GHA",2020,"gcb_corrupt_officials",0.35
"GIN",2020,"gcb_corrupt_officials",0.51
"KEN",2020,"gcb_corrupt_officials",0.47
"LSO",2020,"gcb_corrupt_officials",0.28
"LBR",2020,"gcb_corrupt_officials",0.49
"MDG",2020,"gcb_corrupt_officials",0.34
"MWI",2020,"gcb_corrupt_officials",0.44
"MLI",2020,"gcb_corrupt_officials",0.49
"MUS",2020,"gcb_corrupt_officials",0.14
"MAR",2020,"gcb_corrupt_officials",0.37
"MOZ",2020,"gcb_corrupt_officials",0.37
"NAM",2020,"gcb_corrupt_officials",0.42
"NER",2020,"gcb_corrupt_officials",0.32
"NGA",2020,"gcb_corrupt_officials",0.54
"STP",2020,"gcb_corrupt_officials",0.16
"SEN",2020,"gcb_corrupt_officials",0.26
"SLE",2020,"gcb_corrupt_officials",0.33
"ZAF",2020,"gcb_corrupt_officials",0.44
"SDN",2020,"gcb_corrupt_officials",0.45
"SWZ",2020,"gcb_corrupt_officials",0.32
"TZA",2020,"gcb_corrupt_officials",0.12
"TGO",2020,"gcb_corrupt_officials",0.54
"TUN",2020,"gcb_corrupt_officials",0.31
"UGA",2020,"gcb_corrupt_officials",0.5
"ZMB",2020,"gcb_corrupt_officials",0.37
"ZWE",2020,"gcb_corrupt_officials",0.36
"GMB",2020,"gcb_corrupt_officials",0.23
"COD",2020,"gcb_corrupt_officials",0.66
"BGD",2020,"gcb_corrupt_officials",0.2192634864176201
"KHM",2020,"gcb_corrupt_officials",0.07504123324747126
"CHN",2020,"gcb_corrupt_officials",0.18310736424152285
"IND",2020,"gcb_corrupt_officials",0.41234461488049673
"IDN",2020,"gcb_corrupt_officials",0.45057070382965736
"JPN",2020,"gcb_corrupt_officials",0.07443864950842818
"MYS",2020,"gcb_corrupt_officials",0.2820038347128017
"MDV",2020,"gcb_corrupt_officials",0.3787249656321625
"MNG",2020,"gcb_corrupt_officials",0.30022684506004504
"MMR",2020,"gcb_corrupt_officials",0.19392729778668005
"NPL",2020,"gcb_corrupt_officials",0.4321497186999999
"PHL",2020,"gcb_corrupt_officials",0.18124394782560743
"KOR",2020,"gcb_corrupt_officials",0.25828850810663084
"LKA",2020,"gcb_corrupt_officials",0.31531023709759515
"TWN",2020,"gcb_corrupt_officials",0.1901725825019125
"THA",2020,"gcb_corrupt_officials",0.2950203815494205
"VNM",2020,"gcb_corrupt_officials",0.10305787218366583
"AUT",2020,"gcb_corrupt_officials",0.1296363578214356
"BEL",2020,"gcb_corrupt_officials",0.18100005540708183
"BGR",2020,"gcb_corrupt_officials",0.4898594591711556
"HRV",2020,"gcb_corrupt_officials",0.39136128271256904
"CYP",2020,"gcb_corrupt_officials",0.4654268572225877
"CZE",2020,"gcb_corrupt_officials",0.17663703718516569
"DNK",2020,"gcb_corrupt_officials",0.0605562695485494
"EST",2020,"gcb_corrupt_officials",0.13174773134660892
"FIN",2020,"gcb_corrupt_officials",0.05411279147434447
"FRA",2020,"gcb_corrupt_officials",0.17654124956851888
"DEU",2020,"gcb_corrupt_officials",0.09724936148477734
"GRC",2020,"gcb_corrupt_officials",0.3258010818288086
"HUN",2020,"gcb_corrupt_officials",0.2846630261054875
"IRL",2020,"gcb_corrupt_officials",0.11270626733443732
"ITA",2020,"gcb_corrupt_officials",0.2663694140352047
"LVA",2020,"gcb_corrupt_officials",0.302471047872181
"LTU",2020,"gcb_corrupt_officials",0.17199687987519524
"LUX",2020,"gcb_corrupt_officials",0.07461197781590397
"MLT",2020,"gcb_corrupt_officials",0.1448658797211738
"NLD",2020,"gcb_corrupt_officials",0.073897645650439
"POL",2020,"gcb_corrupt_officials",0.3413339685879356
"PRT",2020,"gcb_corrupt_officials",0.16155075939248598
"ROU",2020,"gcb_corrupt_officials",0.3973891917626623
"SVK",2020,"gcb_corrupt_officials",0.3069342555020288
"SVN",2020,"gcb_corrupt_officials",0.2776786159445581
"ESP",2020,"gcb_corrupt_officials",0.2003547195290693
"SWE",2020,"gcb_corrupt_officials",0.05769401133947552
"ARG",2019,"gcb_corrupt_officials",0.56
"BRA",2019,"gcb_corrupt_officials",0.54
"CHL",2019,"gcb_corrupt_officials",0.44
"COL",2019,"gcb_corrupt_officials",0.48
"CRI",2019,"gcb_corrupt_officials",0.42
"DOM",2019,"gcb_corrupt_officials",0.5
"SLV",2019,"gcb_corrupt_officials",0.47
"GTM",2019,"gcb_corrupt_officials",0.56
