"cc_iso3c","ref_year","variable","value"
"AFG",2020,"gci_legal_measures",0.4
"AFG",2020,"gci_technical_measures",1.46
"AFG",2020,"gci_organisational_measures",3.35
"AFG",2020,"gci_capacity_development",0
"AFG",2020,"gci_cooperative_measures",0
"AGO",2020,"gci_legal_measures",6.7
"AGO",2020,"gci_technical_measures",0
"AGO",2020,"gci_organisational_measures",0
"AGO",2020,"gci_capacity_development",0
"AGO",2020,"gci_cooperative_measures",6.3
"ALB",2020,"gci_legal_measures",18.13
"ALB",2020,"gci_technical_measures",13.12
"ALB",2020,"gci_organisational_measures",13.18
"ALB",2020,"gci_capacity_development",12.12
"ALB",2020,"gci_cooperative_measures",7.78
"AND",2020,"gci_legal_measures",8.37
"AND",2020,"gci_technical_measures",4.11
"AND",2020,"gci_organisational_measures",0
"AND",2020,"gci_capacity_development",4.41
"AND",2020,"gci_cooperative_measures",9.49
"ARE",2020,"gci_legal_measures",20
"ARE",2020,"gci_technical_measures",19.08
"ARE",2020,"gci_organisational_measures",18.98
"ARE",2020,"gci_capacity_development",20
"ARE",2020,"gci_cooperative_measures",20
"ARG",2020,"gci_legal_measures",12.15
"ARG",2020,"gci_technical_measures",13.75
"ARG",2020,"gci_organisational_measures",8.29
"ARG",2020,"gci_capacity_development",4.38
"ARG",2020,"gci_cooperative_measures",11.55
"ARM",2020,"gci_legal_measures",12.87
"ARM",2020,"gci_technical_measures",13.86
"ARM",2020,"gci_organisational_measures",4.87
"ARM",2020,"gci_capacity_development",7.85
"ARM",2020,"gci_cooperative_measures",11.02
"ATG",2020,"gci_legal_measures",11.36
"ATG",2020,"gci_technical_measures",0
"ATG",2020,"gci_organisational_measures",0
"ATG",2020,"gci_capacity_development",0
"ATG",2020,"gci_cooperative_measures",4.26
"AUS",2020,"gci_legal_measures",20
"AUS",2020,"gci_technical_measures",19.08
"AUS",2020,"gci_organisational_measures",18.98
"AUS",2020,"gci_capacity_development",20
"AUS",2020,"gci_cooperative_measures",19.41
"AUT",2020,"gci_legal_measures",19.43
"AUT",2020,"gci_technical_measures",20
"AUT",2020,"gci_organisational_measures",17.64
"AUT",2020,"gci_capacity_development",19.13
"AUT",2020,"gci_cooperative_measures",17.7
"AZE",2020,"gci_legal_measures",20
"AZE",2020,"gci_technical_measures",19.19
"AZE",2020,"gci_organisational_measures",13.14
"AZE",2020,"gci_capacity_development",16.99
"AZE",2020,"gci_cooperative_measures",20
"BDI",2020,"gci_legal_measures",1.73
"BDI",2020,"gci_technical_measures",0
"BDI",2020,"gci_organisational_measures",0
"BDI",2020,"gci_capacity_development",0
"BDI",2020,"gci_cooperative_measures",0
"BEL",2020,"gci_legal_measures",20
"BEL",2020,"gci_technical_measures",20
"BEL",2020,"gci_organisational_measures",16.25
"BEL",2020,"gci_capacity_development",20
"BEL",2020,"gci_cooperative_measures",20
"BEN",2020,"gci_legal_measures",17.42
"BEN",2020,"gci_technical_measures",13.94
"BEN",2020,"gci_organisational_measures",19.48
"BEN",2020,"gci_capacity_development",13.6
"BEN",2020,"gci_cooperative_measures",15.63
"BFA",2020,"gci_legal_measures",9.47
"BFA",2020,"gci_technical_measures",10.25
"BFA",2020,"gci_organisational_measures",8.75
"BFA",2020,"gci_capacity_development",3.47
"BFA",2020,"gci_cooperative_measures",8.04
"BGD",2020,"gci_legal_measures",14.86
"BGD",2020,"gci_technical_measures",16.77
"BGD",2020,"gci_organisational_measures",16.39
"BGD",2020,"gci_capacity_development",17.03
"BGD",2020,"gci_cooperative_measures",16.22
"BGR",2020,"gci_legal_measures",17.34
"BGR",2020,"gci_technical_measures",7.84
"BGR",2020,"gci_organisational_measures",13.72
"BGR",2020,"gci_capacity_development",14.92
"BGR",2020,"gci_cooperative_measures",13.57
"BHR",2020,"gci_legal_measures",20
"BHR",2020,"gci_technical_measures",12.12
"BHR",2020,"gci_organisational_measures",15.11
"BHR",2020,"gci_capacity_development",16.77
"BHR",2020,"gci_cooperative_measures",13.86
"BHS",2020,"gci_legal_measures",12.85
"BHS",2020,"gci_technical_measures",0
"BHS",2020,"gci_organisational_measures",0
"BHS",2020,"gci_capacity_development",0.52
"BHS",2020,"gci_cooperative_measures",0
"BIH",2020,"gci_legal_measures",10.41
"BIH",2020,"gci_technical_measures",6.56
"BIH",2020,"gci_organisational_measures",1.02
"BIH",2020,"gci_capacity_development",3.12
"BIH",2020,"gci_cooperative_measures",8.33
"BLR",2020,"gci_legal_measures",10.36
"BLR",2020,"gci_technical_measures",9.5
"BLR",2020,"gci_organisational_measures",8.31
"BLR",2020,"gci_capacity_development",7.88
"BLR",2020,"gci_cooperative_measures",14.51
"BLZ",2020,"gci_legal_measures",5.77
"BLZ",2020,"gci_technical_measures",0
"BLZ",2020,"gci_organisational_measures",3.01
"BLZ",2020,"gci_capacity_development",1.52
"BLZ",2020,"gci_cooperative_measures",0
"BOL",2020,"gci_legal_measures",5.13
