"cc_iso3c","ref_year","variable","value"
"AGO",2021,"gdb_capabilities",0
"AGO",2021,"gdb_climate",3.4996500000000004
"AGO",2021,"gdb_company",0
"AGO",2021,"gdb_governance",14
"AGO",2021,"gdb_health",0
"AGO",2021,"gdb_integrity",3.383966244725739
"AGO",2021,"gdb_land",0.8500000000000001
"AGO",2021,"gdb_procurement",0
"AGO",2021,"gdb_pubfin",47.26837499999999
"ALB",2021,"gdb_capabilities",48.83333333333334
"ALB",2021,"gdb_climate",1.2668733
"ALB",2021,"gdb_company",44.023362500000005
"ALB",2021,"gdb_governance",40.1
"ALB",2021,"gdb_health",24.598333333333336
"ALB",2021,"gdb_integrity",25.924314345991565
"ALB",2021,"gdb_land",51.120000000000005
"ALB",2021,"gdb_procurement",68.69399999999999
"ALB",2021,"gdb_pubfin",38.251875000000005
"ARE",2021,"gdb_capabilities",50.16666666666667
"ARE",2021,"gdb_climate",3.794092
"ARE",2021,"gdb_company",24.76051875
"ARE",2021,"gdb_governance",23.6
"ARE",2021,"gdb_health",29.955
"ARE",2021,"gdb_integrity",4.3852320675105485
"ARE",2021,"gdb_land",11.421000000000001
"ARE",2021,"gdb_procurement",11.37675
"ARE",2021,"gdb_pubfin",14.683900000000001
"ARG",2021,"gdb_capabilities",40.87250000000001
"ARG",2021,"gdb_climate",35.141485499999995
"ARG",2021,"gdb_company",32.956562500000004
"ARG",2021,"gdb_governance",53.74000000000001
"ARG",2021,"gdb_health",61.98166666666666
"ARG",2021,"gdb_integrity",48.82822784810128
"ARG",2021,"gdb_land",27.535500000000006
"ARG",2021,"gdb_procurement",57.97067499999999
"ARG",2021,"gdb_pubfin",66.54465
"ARM",2021,"gdb_capabilities",0
"ARM",2021,"gdb_climate",54.56348899999999
"ARM",2021,"gdb_company",38.6666
"ARM",2021,"gdb_governance",50
"ARM",2021,"gdb_health",47.713333333333324
"ARM",2021,"gdb_integrity",45.75284282700423
"ARM",2021,"gdb_land",13.583499999999999
"ARM",2021,"gdb_procurement",76.79625
"ARM",2021,"gdb_pubfin",88.274
"AUS",2021,"gdb_capabilities",51.2
"AUS",2021,"gdb_climate",72.04883799999999
"AUS",2021,"gdb_company",15.164499999999999
"AUS",2021,"gdb_governance",63.00000000000001
"AUS",2021,"gdb_health",37.485
"AUS",2021,"gdb_integrity",47.35595991561181
"AUS",2021,"gdb_land",53.0146875
"AUS",2021,"gdb_procurement",61.252475
"AUS",2021,"gdb_pubfin",69.84537500000002
"AZE",2021,"gdb_capabilities",8.409999999999998
"AZE",2021,"gdb_climate",38.46269699999999
"AZE",2021,"gdb_company",4.950000000000001
"AZE",2021,"gdb_governance",22.52
"AZE",2021,"gdb_health",7.116666666666665
"AZE",2021,"gdb_integrity",10.405854430379748
"AZE",2021,"gdb_land",0
"AZE",2021,"gdb_procurement",41.29785
"AZE",2021,"gdb_pubfin",38.391975
"BEN",2021,"gdb_capabilities",13.333333333333332
"BEN",2021,"gdb_climate",17.828051999999996
"BEN",2021,"gdb_company",0
"BEN",2021,"gdb_governance",18
"BEN",2021,"gdb_health",8.333333333333332
"BEN",2021,"gdb_integrity",1.5427215189873418
"BEN",2021,"gdb_land",0
"BEN",2021,"gdb_procurement",28.4894875
"BEN",2021,"gdb_pubfin",29.847150000000003
"BFA",2021,"gdb_capabilities",48.02666666666667
"BFA",2021,"gdb_climate",0
"BFA",2021,"gdb_company",10.395
"BFA",2021,"gdb_governance",39.2
"BFA",2021,"gdb_health",34.17
"BFA",2021,"gdb_integrity",10.640822784810126
"BFA",2021,"gdb_land",0
"BFA",2021,"gdb_procurement",0.9187500000000001
"BFA",2021,"gdb_pubfin",30.46615
"BGD",2021,"gdb_capabilities",30.733333333333334
"BGD",2021,"gdb_climate",0
"BGD",2021,"gdb_company",0
"BGD",2021,"gdb_governance",26.460000000000008
"BGD",2021,"gdb_health",56.11999999999999
"BGD",2021,"gdb_integrity",11.690126582278484
"BGD",2021,"gdb_land",15.4395
"BGD",2021,"gdb_procurement",33.981750000000005
"BGD",2021,"gdb_pubfin",29.677999999999997
"BGR",2021,"gdb_capabilities",57.60000000000001
"BGR",2021,"gdb_climate",19.335532999999998
"BGR",2021,"gdb_company",28.56875
"BGR",2021,"gdb_governance",45.900000000000006
"BGR",2021,"gdb_health",34.065
"BGR",2021,"gdb_integrity",53.8218723628692
"BGR",2021,"gdb_land",62.1375
"BGR",2021,"gdb_procurement",49.60724999999999
"BGR",2021,"gdb_pubfin",80.240375
"BHR",2021,"gdb_capabilities",7.366666666666666
"BHR",2021,"gdb_climate",0
"BHR",2021,"gdb_company",43.630875
"BHR",2021,"gdb_governance",30.6
"BHR",2021,"gdb_health",16.801666666666666
"BHR",2021,"gdb_integrity",7.5904008438818575
"BHR",2021,"gdb_land",11.421000000000001
"BHR",2021,"gdb_procurement",31.317
"BHR",2021,"gdb_pubfin",14.2725
"BHS",2021,"gdb_capabilities",7
"BHS",2021,"gdb_climate",16.959970499999997
"BHS",2021,"gdb_company",20.542500000000004
"BHS",2021,"gdb_governance",25.400000000000006
"BHS",2021,"gdb_health",31.74
"BHS",2021,"gdb_integrity",16.272995780590715
"BHS",2021,"gdb_land",12.915
"BHS",2021,"gdb_procurement",24.90675
"BHS",2021,"gdb_pubfin",24.418950000000002
"BLR",2021,"gdb_capabilities",0
"BLR",2021,"gdb_climate",32.624144224999995
"BLR",2021,"gdb_company",19.117250000000002
"BLR",2021,"gdb_governance",0
"BLR",2021,"gdb_health",16.30833333333333
"BLR",2021,"gdb_integrity",11.080063291139242
"BLR",2021,"gdb_land",2.28375
"BLR",2021,"gdb_procurement",33.294712499999996
"BLR",2021,"gdb_pubfin",37.1235
"BLZ",2021,"gdb_capabilities",33.86666666666667
"BLZ",2021,"gdb_climate",10.284804750000001
"BLZ",2021,"gdb_company",14.395124999999998
"BLZ",2021,"gdb_governance",21.600000000000005
"BLZ",2021,"gdb_health",19.384999999999998
"BLZ",2021,"gdb_integrity",26.549314345991565
"BLZ",2021,"gdb_land",7.9608750000000015
"BLZ",2021,"gdb_procurement",31.854249999999997
"BLZ",2021,"gdb_pubfin",16.1325
"BOL",2021,"gdb_capabilities",26.320000000000004
"BOL",2021,"gdb_climate",15.623222899999998
"BOL",2021,"gdb_company",3.65625
"BOL",2021,"gdb_governance",29.86000000000001
"BOL",2021,"gdb_health",25.526666666666667
