"cc_iso3c","ref_year","variable","value"
"AFG",2022,"gtmi_backend",0.75
"AFG",2022,"gtmi_admin",8
"AFG",2022,"gtmi_policy",4.75
"AFG",2022,"gtmi_innovation",1
"AFG",2022,"gtmi_portals",5.5
"AFG",2022,"gtmi_openness",0
"AFG",2022,"gtmi_engagement",1
"ALB",2022,"gtmi_backend",2.5
"ALB",2022,"gtmi_admin",9.75
"ALB",2022,"gtmi_policy",7.75
"ALB",2022,"gtmi_innovation",3.25
"ALB",2022,"gtmi_portals",7.25
"ALB",2022,"gtmi_openness",6.25
"ALB",2022,"gtmi_engagement",3
"DZA",2022,"gtmi_backend",1.25
"DZA",2022,"gtmi_admin",8
"DZA",2022,"gtmi_policy",5.25
"DZA",2022,"gtmi_innovation",2.75
"DZA",2022,"gtmi_portals",6.75
"DZA",2022,"gtmi_openness",2.25
"DZA",2022,"gtmi_engagement",1
"AND",2022,"gtmi_backend",0.5
"AND",2022,"gtmi_admin",3
"AND",2022,"gtmi_policy",4
"AND",2022,"gtmi_innovation",0
"AND",2022,"gtmi_portals",4.25
"AND",2022,"gtmi_openness",0
"AND",2022,"gtmi_engagement",0
"AGO",2022,"gtmi_backend",0
"AGO",2022,"gtmi_admin",8.5
"AGO",2022,"gtmi_policy",8.25
"AGO",2022,"gtmi_innovation",1.5
"AGO",2022,"gtmi_portals",5.75
"AGO",2022,"gtmi_openness",0
"AGO",2022,"gtmi_engagement",1
"ATG",2022,"gtmi_backend",1
"ATG",2022,"gtmi_admin",8.5
"ATG",2022,"gtmi_policy",4
"ATG",2022,"gtmi_innovation",0.5
"ATG",2022,"gtmi_portals",6.5
"ATG",2022,"gtmi_openness",0
"ATG",2022,"gtmi_engagement",0
"ARG",2022,"gtmi_backend",2.75
"ARG",2022,"gtmi_admin",9
"ARG",2022,"gtmi_policy",8.5
"ARG",2022,"gtmi_innovation",2.25
"ARG",2022,"gtmi_portals",7.5
"ARG",2022,"gtmi_openness",4.5
