"cc_iso3c","ref_year","variable","value"
"AFG",2017,"ilo_pubad_female",0.027034904054652704
"AFG",2021,"ilo_pse_female",0.07946387319879347
"AFG",2021,"ilo_ps_mgrpro_female",0.10612249216164729
"AGO",2019,"ilo_ps_snrmgr_female",0.054004288056501454
"AGO",2021,"ilo_pse_female",0.24441780103276614
"AGO",2021,"ilo_pubad_female",0.16298953838010308
"AGO",2021,"ilo_ps_mgrpro_female",0.2994362934936194
"ALB",2017,"ilo_ps_snrmgr_female",0
"ALB",2019,"ilo_pse_female",0.4966129447392488
"ALB",2019,"ilo_pubad_female",0.32381567550903567
"ALB",2019,"ilo_ps_mgrpro_female",0.6125639306931602
"ARE",2022,"ilo_pse_female",0.2767477943806811
"ARE",2022,"ilo_pubad_female",0.22198706400375795
"ARE",2022,"ilo_ps_mgrpro_female",0.307806176512453
"ARE",2022,"ilo_ps_snrmgr_female",0.09562235222917087
"ARG",2023,"ilo_pse_female",0.5525155342582729
"ARG",2023,"ilo_pubad_female",0.44748656162780875
"ARG",2023,"ilo_ps_mgrpro_female",0.5688542978929021
"ARG",2023,"ilo_ps_snrmgr_female",0.3699577410679985
"ARM",2022,"ilo_pse_female",0.5770238650541732
"ARM",2022,"ilo_pubad_female",0.26770621468926553
"ARM",2022,"ilo_ps_mgrpro_female",0.5293623325779511
"AUS",2021,"ilo_pubad_female",0.486132307989968
"AUS",2021,"ilo_ps_mgrpro_female",0.5426073718260553
"AUS",2021,"ilo_ps_snrmgr_female",0.5589050911333189
"AUS",2023,"ilo_pse_female",0.6579617130234933
"AUT",2023,"ilo_pse_female",0.5127848069537319
"AUT",2023,"ilo_pubad_female",0.5129933599629878
"AUT",2023,"ilo_ps_mgrpro_female",0.5058299548020407
"AUT",2023,"ilo_ps_snrmgr_female",0.3158080037554277
"AZE",2022,"ilo_pse_female",0.44258076751097647
"AZE",2022,"ilo_pubad_female",0.1733702245397467
"BDI",2020,"ilo_pse_female",0.4164606122043604
"BDI",2020,"ilo_pubad_female",0.3738982087005971
"BDI",2020,"ilo_ps_mgrpro_female",0.42898909066608754
"BEL",2023,"ilo_pse_female",0.6734833262761479
"BEL",2023,"ilo_pubad_female",0.5128287937471974
"BEN",2022,"ilo_pse_female",0.2084117720883534
"BEN",2022,"ilo_ps_mgrpro_female",0.27976970249283284
"BFA",2023,"ilo_pse_female",0.28514859356701006
"BFA",2023,"ilo_pubad_female",0.1465464300720773
"BFA",2023,"ilo_ps_mgrpro_female",0.4159278012662148
"BGD",2022,"ilo_pse_female",0.2017669132016902
"BGD",2022,"ilo_pubad_female",0.06663195629681085
"BGD",2022,"ilo_ps_mgrpro_female",0.25894350777518044
"BGD",2022,"ilo_ps_snrmgr_female",0.19411538297053416
