"cc_iso3c","ref_year","variable","value"
"AFG",2022,"lpi_customs_clearance",2.1
"ALB",2022,"lpi_customs_clearance",2.4
"DZA",2022,"lpi_customs_clearance",2.3
"AGO",2022,"lpi_customs_clearance",1.7
"ATG",2022,"lpi_customs_clearance",2.2
"ARG",2022,"lpi_customs_clearance",2.7
"ARM",2022,"lpi_customs_clearance",2.5
"AUS",2022,"lpi_customs_clearance",3.7
"AUT",2022,"lpi_customs_clearance",3.7
"BHS",2022,"lpi_customs_clearance",2.7
"BHR",2022,"lpi_customs_clearance",3.3
"BGD",2022,"lpi_customs_clearance",2.3
"BLR",2022,"lpi_customs_clearance",2.6
"BEL",2022,"lpi_customs_clearance",3.9
"BEN",2022,"lpi_customs_clearance",2.7
"BTN",2022,"lpi_customs_clearance",2.7
"BOL",2022,"lpi_customs_clearance",2.1
"BIH",2022,"lpi_customs_clearance",2.7
"BWA",2022,"lpi_customs_clearance",3
"BRA",2022,"lpi_customs_clearance",2.9
"BGR",2022,"lpi_customs_clearance",3.1
"BFA",2022,"lpi_customs_clearance",2
"KHM",2022,"lpi_customs_clearance",2.2
"CMR",2022,"lpi_customs_clearance",2.1
"CAN",2022,"lpi_customs_clearance",4
"CAF",2022,"lpi_customs_clearance",2.4
"CHL",2022,"lpi_customs_clearance",3
"CHN",2022,"lpi_customs_clearance",3.3
"COL",2022,"lpi_customs_clearance",2.5
"COD",2022,"lpi_customs_clearance",2.3
"COG",2022,"lpi_customs_clearance",2.3
"CRI",2022,"lpi_customs_clearance",2.8
"HRV",2022,"lpi_customs_clearance",3
"CUB",2022,"lpi_customs_clearance",2
"CYP",2022,"lpi_customs_clearance",2.9
"CZE",2022,"lpi_customs_clearance",3
"DNK",2022,"lpi_customs_clearance",4.1
"DJI",2022,"lpi_customs_clearance",2.6
"DOM",2022,"lpi_customs_clearance",2.6
"EGY",2022,"lpi_customs_clearance",2.8
"SLV",2022,"lpi_customs_clearance",2.4
"EST",2022,"lpi_customs_clearance",3.2
"FJI",2022,"lpi_customs_clearance",2.3
"FIN",2022,"lpi_customs_clearance",4
"FRA",2022,"lpi_customs_clearance",3.7
"GAB",2022,"lpi_customs_clearance",2
"GMB",2022,"lpi_customs_clearance",1.8
"GEO",2022,"lpi_customs_clearance",2.6
"DEU",2022,"lpi_customs_clearance",3.9
"GHA",2022,"lpi_customs_clearance",2.7
"GRC",2022,"lpi_customs_clearance",3.2
"GRD",2022,"lpi_customs_clearance",2.6
"GTM",2022,"lpi_customs_clearance",2.3
"GIN",2022,"lpi_customs_clearance",2.4
"GNB",2022,"lpi_customs_clearance",2.7
"GUY",2022,"lpi_customs_clearance",2.3
"HTI",2022,"lpi_customs_clearance",2.1
"HND",2022,"lpi_customs_clearance",2.8
"HKG",2022,"lpi_customs_clearance",3.8
"HUN",2022,"lpi_customs_clearance",2.7
"ISL",2022,"lpi_customs_clearance",3.7
"IND",2022,"lpi_customs_clearance",3
"IDN",2022,"lpi_customs_clearance",2.8
"IRN",2022,"lpi_customs_clearance",2.2
"IRQ",2022,"lpi_customs_clearance",2.1
"IRL",2022,"lpi_customs_clearance",3.4
"ISR",2022,"lpi_customs_clearance",3.4
"ITA",2022,"lpi_customs_clearance",3.4
"JAM",2022,"lpi_customs_clearance",2.2
"JPN",2022,"lpi_customs_clearance",3.9
"KAZ",2022,"lpi_customs_clearance",2.6
"KOR",2022,"lpi_customs_clearance",3.9
"KWT",2022,"lpi_customs_clearance",3.2
"KGZ",2022,"lpi_customs_clearance",2.2
"LAO",2022,"lpi_customs_clearance",2.3
"LVA",2022,"lpi_customs_clearance",3.3
"LBR",2022,"lpi_customs_clearance",2.1
"LBY",2022,"lpi_customs_clearance",1.9
"LTU",2022,"lpi_customs_clearance",3.2
"LUX",2022,"lpi_customs_clearance",3.6
"MDG",2022,"lpi_customs_clearance",1.8
"MYS",2022,"lpi_customs_clearance",3.3
"MLI",2022,"lpi_customs_clearance",2.6
"MLT",2022,"lpi_customs_clearance",3.4
"MRT",2022,"lpi_customs_clearance",2.1
"MUS",2022,"lpi_customs_clearance",2.4
"MEX",2022,"lpi_customs_clearance",2.5
"MDA",2022,"lpi_customs_clearance",1.9
"MNG",2022,"lpi_customs_clearance",2.5
"MNE",2022,"lpi_customs_clearance",2.6
"NAM",2022,"lpi_customs_clearance",2.8
"NLD",2022,"lpi_customs_clearance",3.9
"NZL",2022,"lpi_customs_clearance",3.4
"NIC",2022,"lpi_customs_clearance",2
"NGA",2022,"lpi_customs_clearance",2.4
"MKD",2022,"lpi_customs_clearance",3.1
"NOR",2022,"lpi_customs_clearance",3.8
"OMN",2022,"lpi_customs_clearance",3
"PAN",2022,"lpi_customs_clearance",3
"PNG",2022,"lpi_customs_clearance",2.4
"PRY",2022,"lpi_customs_clearance",2.4
"PER",2022,"lpi_customs_clearance",2.6
"PHL",2022,"lpi_customs_clearance",2.8
"POL",2022,"lpi_customs_clearance",3.4
"PRT",2022,"lpi_customs_clearance",3.2
"QAT",2022,"lpi_customs_clearance",3.1
"ROU",2022,"lpi_customs_clearance",2.7
"RUS",2022,"lpi_customs_clearance",2.4
"RWA",2022,"lpi_customs_clearance",2.5
"SAU",2022,"lpi_customs_clearance",3
"SRB",2022,"lpi_customs_clearance",2.2
"SGP",2022,"lpi_customs_clearance",4.2
"SVK",2022,"lpi_customs_clearance",3.2
"SVN",2022,"lpi_customs_clearance",3.4
"SLB",2022,"lpi_customs_clearance",2.4
"SOM",2022,"lpi_customs_clearance",1.5
"ZAF",2022,"lpi_customs_clearance",3.3
"ESP",2022,"lpi_customs_clearance",3.6
"LKA",2022,"lpi_customs_clearance",2.5
"SDN",2022,"lpi_customs_clearance",2.1
"SWE",2022,"lpi_customs_clearance",4
"CHE",2022,"lpi_customs_clearance",4.1
"SYR",2022,"lpi_customs_clearance",2.2
"TJK",2022,"lpi_customs_clearance",2.2
"THA",2022,"lpi_customs_clearance",3.3
"TGO",2022,"lpi_customs_clearance",2.3
"TTO",2022,"lpi_customs_clearance",2.2
"TUR",2022,"lpi_customs_clearance",3
"UKR",2022,"lpi_customs_clearance",2.4
"ARE",2022,"lpi_customs_clearance",3.7
"GBR",2022,"lpi_customs_clearance",3.5
"USA",2022,"lpi_customs_clearance",3.7
"URY",2022,"lpi_customs_clearance",2.9
"UZB",2022,"lpi_customs_clearance",2.6
"VEN",2022,"lpi_customs_clearance",2.1
"VNM",2022,"lpi_customs_clearance",3.1
"YEM",2022,"lpi_customs_clearance",1.7
"ZWE",2022,"lpi_customs_clearance",2.2
