"cc_iso3c","ref_year","variable","value"
"AFG",2023,"obs_documents",0
"AFG",2023,"obs_oversight",0
"AFG",2023,"obs_consultation",0
"ALB",2023,"obs_documents",58.30999999999998
"ALB",2023,"obs_oversight",16.339999999999996
"ALB",2023,"obs_consultation",1.6500000000000001
"DZA",2023,"obs_documents",16
"DZA",2023,"obs_oversight",5
"DZA",2023,"obs_consultation",0
"AGO",2023,"obs_documents",28.319999999999993
"AGO",2023,"obs_oversight",3.66
"AGO",2023,"obs_consultation",1.33
"ARG",2023,"obs_documents",52.639999999999986
"ARG",2023,"obs_oversight",13.66
"ARG",2023,"obs_consultation",4.99
"ARM",2023,"obs_documents",58.95999999999999
"ARM",2023,"obs_oversight",14.65
"ARM",2023,"obs_consultation",3.3200000000000003
"AUS",2023,"obs_documents",76.01
"AUS",2023,"obs_oversight",20.32
"AUS",2023,"obs_consultation",8.33
"AZE",2023,"obs_documents",64.66
"AZE",2023,"obs_oversight",16.32
"AZE",2023,"obs_consultation",4.66
"BGD",2023,"obs_documents",38.65
"BGD",2023,"obs_oversight",6.66
"BGD",2023,"obs_consultation",3.3100000000000005
"BEN",2023,"obs_documents",79.66
"BEN",2023,"obs_oversight",13.34
"BEN",2023,"obs_consultation",9.32
"BOL",2023,"obs_documents",10.68
"BOL",2023,"obs_oversight",8.33
"BOL",2023,"obs_consultation",2.66
"BIH",2023,"obs_documents",23.649999999999995
"BIH",2023,"obs_oversight",14
"BIH",2023,"obs_consultation",1.33
"BWA",2023,"obs_documents",39.989999999999995
"BWA",2023,"obs_oversight",10.33
"BWA",2023,"obs_consultation",4.32
"BRA",2023,"obs_documents",78.02000000000001
"BRA",2023,"obs_oversight",25.339999999999996
"BRA",2023,"obs_consultation",5.32
"BGR",2023,"obs_documents",76.05000000000003
"BGR",2023,"obs_oversight",16.659999999999997
"BGR",2023,"obs_consultation",7.34
"BFA",2023,"obs_documents",29.010000000000005
"BFA",2023,"obs_oversight",7.66
"BFA",2023,"obs_consultation",4.65
"BDI",2023,"obs_documents",10.35
"BDI",2023,"obs_oversight",7.67
"BDI",2023,"obs_consultation",1.6700000000000002
"KHM",2023,"obs_documents",42.32
"KHM",2023,"obs_oversight",10.32
"KHM",2023,"obs_consultation",2
"CMR",2023,"obs_documents",51.34000000000001
"CMR",2023,"obs_oversight",5.970000000000001
"CMR",2023,"obs_consultation",6.32
"CAN",2023,"obs_documents",72.33
"CAN",2023,"obs_oversight",19.35
"CAN",2023,"obs_consultation",4.66
"CAF",2023,"obs_documents",6.34
"CAF",2023,"obs_oversight",3.66
"CAF",2023,"obs_consultation",0
"TCD",2023,"obs_documents",4.98
"TCD",2023,"obs_oversight",5.67
"TCD",2023,"obs_consultation",1.6700000000000002
"CHL",2023,"obs_documents",63
"CHL",2023,"obs_oversight",12.66
"CHL",2023,"obs_consultation",3.3200000000000003
"CHN",2023,"obs_documents",16.34
"CHN",2023,"obs_oversight",8.98
"CHN",2023,"obs_consultation",1.33
"COL",2023,"obs_documents",49.31999999999999
"COL",2023,"obs_oversight",17
"COL",2023,"obs_consultation",5.3100000000000005
"COM",2023,"obs_documents",3.99
"COM",2023,"obs_oversight",7
"COM",2023,"obs_consultation",0.33
"CRI",2023,"obs_documents",60.989999999999995
"CRI",2023,"obs_oversight",17.01
"CRI",2023,"obs_consultation",4
"CIV",2023,"obs_documents",52.33
"CIV",2023,"obs_oversight",11
"CIV",2023,"obs_consultation",3.3200000000000003
"HRV",2023,"obs_documents",65.95999999999998
"HRV",2023,"obs_oversight",18.339999999999996
"HRV",2023,"obs_consultation",4.66
"CZE",2023,"obs_documents",60.31999999999999
"CZE",2023,"obs_oversight",21.659999999999997
"CZE",2023,"obs_consultation",6.32
"COD",2023,"obs_documents",42.309999999999995
"COD",2023,"obs_oversight",12.33
"COD",2023,"obs_consultation",5.99
"DOM",2023,"obs_documents",76
"DOM",2023,"obs_oversight",13.99
"DOM",2023,"obs_consultation",12.35
"ECU",2023,"obs_documents",49.95999999999999
"ECU",2023,"obs_oversight",7.68
"ECU",2023,"obs_consultation",5.33
"EGY",2023,"obs_documents",50.95999999999998
"EGY",2023,"obs_oversight",9.66
"EGY",2023,"obs_consultation",9
"SLV",2023,"obs_documents",23.659999999999997
"SLV",2023,"obs_oversight",12
"SLV",2023,"obs_consultation",3.3200000000000003
"GNQ",2023,"obs_documents",4.33
"GNQ",2023,"obs_oversight",4.3100000000000005
"GNQ",2023,"obs_consultation",0
"SWZ",2023,"obs_documents",29.329999999999995
"SWZ",2023,"obs_oversight",10.98
"SWZ",2023,"obs_consultation",0.33
"ETH",2023,"obs_documents",4.67
"ETH",2023,"obs_oversight",15
"ETH",2023,"obs_consultation",3.33
"FJI",2023,"obs_documents",36.639999999999986
