"cc_iso3c","ref_year","variable","value"
"BDI",2022,"odin_social_coverage",15
"BDI",2022,"odin_social_openness",21.5
"BDI",2022,"odin_economic_coverage",14
"BDI",2022,"odin_economic_openness",13
"BDI",2022,"odin_environmental_coverage",9.5
"BDI",2022,"odin_environmental_openness",9.5
"DJI",2022,"odin_social_coverage",10
"DJI",2022,"odin_social_openness",18
"DJI",2022,"odin_economic_coverage",13.5
"DJI",2022,"odin_economic_openness",13
"DJI",2022,"odin_environmental_coverage",5
"DJI",2022,"odin_environmental_openness",3
"ETH",2022,"odin_social_coverage",17
"ETH",2022,"odin_social_openness",24.5
"ETH",2022,"odin_economic_coverage",14.5
"ETH",2022,"odin_economic_openness",19.5
"ETH",2022,"odin_environmental_coverage",5
"ETH",2022,"odin_environmental_openness",6.5
"KEN",2022,"odin_social_coverage",22
"KEN",2022,"odin_social_openness",19.5
"KEN",2022,"odin_economic_coverage",15.5
"KEN",2022,"odin_economic_openness",10.5
"KEN",2022,"odin_environmental_coverage",13.5
"KEN",2022,"odin_environmental_openness",10.5
"MDG",2022,"odin_social_coverage",16.5
"MDG",2022,"odin_social_openness",15.5
"MDG",2022,"odin_economic_coverage",14
"MDG",2022,"odin_economic_openness",14
"MDG",2022,"odin_environmental_coverage",4
"MDG",2022,"odin_environmental_openness",6
"MWI",2022,"odin_social_coverage",18.5
"MWI",2022,"odin_social_openness",19.5
"MWI",2022,"odin_economic_coverage",15
"MWI",2022,"odin_economic_openness",15.5
"MWI",2022,"odin_environmental_coverage",6
"MWI",2022,"odin_environmental_openness",6.5
"MUS",2022,"odin_social_coverage",16.5
"MUS",2022,"odin_social_openness",28.5
"MUS",2022,"odin_economic_coverage",18.5
"MUS",2022,"odin_economic_openness",21
"MUS",2022,"odin_environmental_coverage",7.5
"MUS",2022,"odin_environmental_openness",14
"MOZ",2022,"odin_social_coverage",21
"MOZ",2022,"odin_social_openness",18
"MOZ",2022,"odin_economic_coverage",16.5
"MOZ",2022,"odin_economic_openness",11
"MOZ",2022,"odin_environmental_coverage",7
"MOZ",2022,"odin_environmental_openness",5
"RWA",2022,"odin_social_coverage",23.5
"RWA",2022,"odin_social_openness",30
"RWA",2022,"odin_economic_coverage",20
"RWA",2022,"odin_economic_openness",22.5
"RWA",2022,"odin_environmental_coverage",9
"RWA",2022,"odin_environmental_openness",16.5
"SYC",2022,"odin_social_coverage",12.5
"SYC",2022,"odin_social_openness",14
"SYC",2022,"odin_economic_coverage",20.5
"SYC",2022,"odin_economic_openness",17.5
"SYC",2022,"odin_environmental_coverage",3
"SYC",2022,"odin_environmental_openness",5
"SOM",2022,"odin_social_coverage",11
"SOM",2022,"odin_social_openness",24.5
"SOM",2022,"odin_economic_coverage",8.5
"SOM",2022,"odin_economic_openness",16
"SOM",2022,"odin_environmental_coverage",3.5
"SOM",2022,"odin_environmental_openness",9
"SSD",2022,"odin_social_coverage",1.5
"SSD",2022,"odin_social_openness",15
"SSD",2022,"odin_economic_coverage",1.5
"SSD",2022,"odin_economic_openness",3.5
"SSD",2022,"odin_environmental_coverage",0
"SSD",2022,"odin_environmental_openness",0
"TZA",2022,"odin_social_coverage",20.5
"TZA",2022,"odin_social_openness",30
"TZA",2022,"odin_economic_coverage",15.5
"TZA",2022,"odin_economic_openness",26
"TZA",2022,"odin_environmental_coverage",7.5
"TZA",2022,"odin_environmental_openness",13
"UGA",2022,"odin_social_coverage",18.5
"UGA",2022,"odin_social_openness",23
"UGA",2022,"odin_economic_coverage",17
"UGA",2022,"odin_economic_openness",24.5
"UGA",2022,"odin_environmental_coverage",6.5
"UGA",2022,"odin_environmental_openness",6.5
"ZMB",2022,"odin_social_coverage",18.5
"ZMB",2022,"odin_social_openness",21
"ZMB",2022,"odin_economic_coverage",8
"ZMB",2022,"odin_economic_openness",8.5
"ZMB",2022,"odin_environmental_coverage",6
"ZMB",2022,"odin_environmental_openness",8.5
"ZWE",2022,"odin_social_coverage",13
"ZWE",2022,"odin_social_openness",29
"ZWE",2022,"odin_economic_coverage",12.5
"ZWE",2022,"odin_economic_openness",21.5
"ZWE",2022,"odin_environmental_coverage",5
"ZWE",2022,"odin_environmental_openness",8.5
"AGO",2022,"odin_social_coverage",13
"AGO",2022,"odin_social_openness",15
"AGO",2022,"odin_economic_coverage",17
"AGO",2022,"odin_economic_openness",15
"AGO",2022,"odin_environmental_coverage",5.5
"AGO",2022,"odin_environmental_openness",6
"CMR",2022,"odin_social_coverage",19
"CMR",2022,"odin_social_openness",23
"CMR",2022,"odin_economic_coverage",13.5
"CMR",2022,"odin_economic_openness",16.5
"CMR",2022,"odin_environmental_coverage",7.5
"CMR",2022,"odin_environmental_openness",11
"CAF",2022,"odin_social_coverage",12.5
"CAF",2022,"odin_social_openness",16.5
"CAF",2022,"odin_economic_coverage",9
"CAF",2022,"odin_economic_openness",10
"CAF",2022,"odin_environmental_coverage",3.5
"CAF",2022,"odin_environmental_openness",4
"TCD",2022,"odin_social_coverage",14
"TCD",2022,"odin_social_openness",16
"TCD",2022,"odin_economic_coverage",9.5
"TCD",2022,"odin_economic_openness",15
"TCD",2022,"odin_environmental_coverage",2.5
"TCD",2022,"odin_environmental_openness",2
"COD",2022,"odin_social_coverage",16
"COD",2022,"odin_social_openness",19
"COD",2022,"odin_economic_coverage",9.5
"COD",2022,"odin_economic_openness",17.5
"COD",2022,"odin_environmental_coverage",3
"COD",2022,"odin_environmental_openness",6
"GNQ",2022,"odin_social_coverage",14
"GNQ",2022,"odin_social_openness",14.5
"GNQ",2022,"odin_economic_coverage",13
"GNQ",2022,"odin_economic_openness",13
"GNQ",2022,"odin_environmental_coverage",5
"GNQ",2022,"odin_environmental_openness",5
"GAB",2022,"odin_social_coverage",13
"GAB",2022,"odin_social_openness",20.5
"GAB",2022,"odin_economic_coverage",10
"GAB",2022,"odin_economic_openness",21.5
"GAB",2022,"odin_environmental_coverage",3
"GAB",2022,"odin_environmental_openness",4
"STP",2022,"odin_social_coverage",20
"STP",2022,"odin_social_openness",18
"STP",2022,"odin_economic_coverage",12.5
"STP",2022,"odin_economic_openness",14.5
"STP",2022,"odin_environmental_coverage",5.5
"STP",2022,"odin_environmental_openness",5.5
"DZA",2022,"odin_social_coverage",12
"DZA",2022,"odin_social_openness",9.5
"DZA",2022,"odin_economic_coverage",17
"DZA",2022,"odin_economic_openness",11
"DZA",2022,"odin_environmental_coverage",5.5
"DZA",2022,"odin_environmental_openness",5
"EGY",2022,"odin_social_coverage",18.5
"EGY",2022,"odin_social_openness",14.5
"EGY",2022,"odin_economic_coverage",18
"EGY",2022,"odin_economic_openness",11.5
"EGY",2022,"odin_environmental_coverage",11.5
"EGY",2022,"odin_environmental_openness",8
"LBY",2022,"odin_social_coverage",5
"LBY",2022,"odin_social_openness",11.5
"LBY",2022,"odin_economic_coverage",9.5
"LBY",2022,"odin_economic_openness",12.5
"LBY",2022,"odin_environmental_coverage",2
"LBY",2022,"odin_environmental_openness",5.5
"MAR",2022,"odin_social_coverage",29
"MAR",2022,"odin_social_openness",34
"MAR",2022,"odin_economic_coverage",20.5
"MAR",2022,"odin_economic_openness",26.5
"MAR",2022,"odin_environmental_coverage",13
"MAR",2022,"odin_environmental_openness",17.5
"TUN",2022,"odin_social_coverage",14.5
"TUN",2022,"odin_social_openness",32.5
"TUN",2022,"odin_economic_coverage",17
"TUN",2022,"odin_economic_openness",27.5
"TUN",2022,"odin_environmental_coverage",8
"TUN",2022,"odin_environmental_openness",16
"BWA",2022,"odin_social_coverage",19
"BWA",2022,"odin_social_openness",32
"BWA",2022,"odin_economic_coverage",18.5
