"cc_iso3c","ref_year","variable","value"
"KOR",2023,"dgi_digital_design",0.971
"KOR",2023,"dgi_data_driven",1
"KOR",2023,"dgi_govt_as_platform",0.913
"KOR",2023,"dgi_open_default",0.882
"KOR",2023,"dgi_user_driven",0.909
"KOR",2023,"dgi_proactiveness",0.934
"DNK",2023,"dgi_digital_design",0.851
"DNK",2023,"dgi_data_driven",0.833
"DNK",2023,"dgi_govt_as_platform",0.896
"DNK",2023,"dgi_open_default",0.783
"DNK",2023,"dgi_user_driven",0.715
"DNK",2023,"dgi_proactiveness",0.788
"GBR",2023,"dgi_digital_design",0.914
"GBR",2023,"dgi_data_driven",0.598
"GBR",2023,"dgi_govt_as_platform",0.696
"GBR",2023,"dgi_open_default",0.667
"GBR",2023,"dgi_user_driven",0.925
"GBR",2023,"dgi_proactiveness",0.853
"NOR",2023,"dgi_digital_design",0.758
"NOR",2023,"dgi_data_driven",0.851
"NOR",2023,"dgi_govt_as_platform",0.818
"NOR",2023,"dgi_open_default",0.588
"NOR",2023,"dgi_user_driven",0.853
"NOR",2023,"dgi_proactiveness",0.75
"AUS",2023,"dgi_digital_design",0.973
"AUS",2023,"dgi_data_driven",0.774
"AUS",2023,"dgi_govt_as_platform",0.738
"AUS",2023,"dgi_open_default",0.466
"AUS",2023,"dgi_user_driven",0.833
"AUS",2023,"dgi_proactiveness",0.736
"EST",2023,"dgi_digital_design",0.692
"EST",2023,"dgi_data_driven",0.949
"EST",2023,"dgi_govt_as_platform",0.705
"EST",2023,"dgi_open_default",0.623
"EST",2023,"dgi_user_driven",0.614
"EST",2023,"dgi_proactiveness",0.869
"COL",2023,"dgi_digital_design",0.814
"COL",2023,"dgi_data_driven",0.794
"COL",2023,"dgi_govt_as_platform",0.654
"COL",2023,"dgi_open_default",0.731
"COL",2023,"dgi_user_driven",0.775
"COL",2023,"dgi_proactiveness",0.647
"IRL",2023,"dgi_digital_design",0.844
"IRL",2023,"dgi_data_driven",0.861
"IRL",2023,"dgi_govt_as_platform",0.632
"IRL",2023,"dgi_open_default",0.56
"IRL",2023,"dgi_user_driven",0.684
"IRL",2023,"dgi_proactiveness",0.701
"FRA",2023,"dgi_digital_design",0.677
"FRA",2023,"dgi_data_driven",0.816
"FRA",2023,"dgi_govt_as_platform",0.577
"FRA",2023,"dgi_open_default",0.761
"FRA",2023,"dgi_user_driven",0.595
"FRA",2023,"dgi_proactiveness",0.561
"CAN",2023,"dgi_digital_design",0.829
"CAN",2023,"dgi_data_driven",0.64
"CAN",2023,"dgi_govt_as_platform",0.436
"CAN",2023,"dgi_open_default",0.727
"CAN",2023,"dgi_user_driven",0.749
"CAN",2023,"dgi_proactiveness",0.547
"PRT",2023,"dgi_digital_design",0.77
"PRT",2023,"dgi_data_driven",0.555
"PRT",2023,"dgi_govt_as_platform",0.593
"PRT",2023,"dgi_open_default",0.493
"PRT",2023,"dgi_user_driven",0.809
"PRT",2023,"dgi_proactiveness",0.618
"FIN",2023,"dgi_digital_design",0.721
