"cc_iso3c","ref_year","variable","value"
"CAN",2021,"ireg_primary_evaluation",1.69
"CHL",2021,"ireg_secondary_evaluation",0.52
"COL",2021,"ireg_primary_evaluation",0.35
"COL",2021,"ireg_secondary_evaluation",0.54
"CRI",2021,"ireg_primary_evaluation",0.7
"CRI",2021,"ireg_secondary_evaluation",0.93
"GRC",2021,"ireg_primary_evaluation",0.37
"JPN",2021,"ireg_primary_evaluation",2.17
"LVA",2021,"ireg_primary_evaluation",0.44
"LVA",2021,"ireg_secondary_evaluation",0.49
"LTU",2021,"ireg_primary_evaluation",0.89
"LTU",2021,"ireg_secondary_evaluation",0.62
"TUR",2021,"ireg_primary_evaluation",0.04
"TUR",2021,"ireg_secondary_evaluation",0.04
"USA",2021,"ireg_secondary_evaluation",1.05
"BGR",2021,"ireg_primary_evaluation",0.87
"BGR",2021,"ireg_secondary_evaluation",0.49
"HRV",2021,"ireg_primary_evaluation",1.11
"HRV",2021,"ireg_secondary_evaluation",0.36
"CYP",2021,"ireg_primary_evaluation",0.22
"CYP",2021,"ireg_secondary_evaluation",0.22
"MLT",2021,"ireg_primary_evaluation",0.44
"MLT",2021,"ireg_secondary_evaluation",0.44
"ROU",2021,"ireg_primary_evaluation",0.06
"ROU",2021,"ireg_secondary_evaluation",0.06
"AUS",2021,"ireg_primary_evaluation",3.11
"AUS",2021,"ireg_secondary_evaluation",3.13
"AUT",2021,"ireg_primary_evaluation",1.89
"AUT",2021,"ireg_secondary_evaluation",1.89
"BEL",2021,"ireg_primary_evaluation",1.44
"BEL",2021,"ireg_secondary_evaluation",1.44
"CAN",2021,"ireg_secondary_evaluation",2.38
"CHL",2021,"ireg_primary_evaluation",0.86
"CZE",2021,"ireg_primary_evaluation",0.85
"CZE",2021,"ireg_secondary_evaluation",0.51
"DNK",2021,"ireg_primary_evaluation",1.39
"DNK",2021,"ireg_secondary_evaluation",1.22
"EST",2021,"ireg_primary_evaluation",1.27
"EST",2021,"ireg_secondary_evaluation",1.02
"FIN",2021,"ireg_primary_evaluation",0.41
"FIN",2021,"ireg_secondary_evaluation",0.3
"FRA",2021,"ireg_primary_evaluation",1.56
"FRA",2021,"ireg_secondary_evaluation",1.47
"DEU",2021,"ireg_primary_evaluation",2.26
"DEU",2021,"ireg_secondary_evaluation",2.26
"GRC",2021,"ireg_secondary_evaluation",0.37
"HUN",2021,"ireg_primary_evaluation",0.61
"HUN",2021,"ireg_secondary_evaluation",0.58
"ISL",2021,"ireg_primary_evaluation",0.41
"ISL",2021,"ireg_secondary_evaluation",0.37
"IRL",2021,"ireg_primary_evaluation",0.5
"IRL",2021,"ireg_secondary_evaluation",0.52
"ISR",2021,"ireg_primary_evaluation",1.25
"ISR",2021,"ireg_secondary_evaluation",1.25
"ITA",2021,"ireg_primary_evaluation",2.71
"ITA",2021,"ireg_secondary_evaluation",2.71
"JPN",2021,"ireg_secondary_evaluation",2.1
"KOR",2021,"ireg_primary_evaluation",2.18
"KOR",2021,"ireg_secondary_evaluation",2.18
"LUX",2021,"ireg_primary_evaluation",0.85
"LUX",2021,"ireg_secondary_evaluation",0.85
"MEX",2021,"ireg_primary_evaluation",1.9
"MEX",2021,"ireg_secondary_evaluation",3
"NLD",2021,"ireg_primary_evaluation",1.7
"NLD",2021,"ireg_secondary_evaluation",1.61
"NZL",2021,"ireg_primary_evaluation",0.87
"NZL",2021,"ireg_secondary_evaluation",0.87
"NOR",2021,"ireg_primary_evaluation",1.22
"NOR",2021,"ireg_secondary_evaluation",1.22
"POL",2021,"ireg_primary_evaluation",0.86
"POL",2021,"ireg_secondary_evaluation",0.43
"PRT",2021,"ireg_primary_evaluation",0.58
"PRT",2021,"ireg_secondary_evaluation",1.07
"SVK",2021,"ireg_primary_evaluation",0.27
"SVK",2021,"ireg_secondary_evaluation",0.27
"SVN",2021,"ireg_primary_evaluation",0.52
"SVN",2021,"ireg_secondary_evaluation",0.28
"ESP",2021,"ireg_primary_evaluation",0.56
"ESP",2021,"ireg_secondary_evaluation",0.56
"SWE",2021,"ireg_primary_evaluation",0.99
"SWE",2021,"ireg_secondary_evaluation",0.79
"CHE",2021,"ireg_primary_evaluation",0.6
"CHE",2021,"ireg_secondary_evaluation",0.6
"GBR",2021,"ireg_primary_evaluation",2.76
"GBR",2021,"ireg_secondary_evaluation",3.01
"USA",2021,"ireg_primary_evaluation",0.48
"AUS",2021,"ireg_secondary_ria",2.81
"AUT",2021,"ireg_primary_ria",2.47
"BEL",2021,"ireg_primary_ria",2.26
"BEL",2021,"ireg_secondary_ria",1.8
"CAN",2021,"ireg_primary_ria",2.8
"CAN",2021,"ireg_secondary_ria",3.23
"CHL",2021,"ireg_primary_ria",1.71
"CHL",2021,"ireg_secondary_ria",1.71
"AUS",2021,"ireg_primary_ria",2.84
"AUT",2021,"ireg_secondary_ria",2.31
"COL",2021,"ireg_primary_ria",0.2
"COL",2021,"ireg_secondary_ria",0.61
"CRI",2021,"ireg_primary_ria",0.39
"CRI",2021,"ireg_secondary_ria",2.24
"FRA",2021,"ireg_secondary_ria",1.97
"GRC",2021,"ireg_primary_ria",2.19
"HUN",2021,"ireg_secondary_ria",2.05
"ITA",2021,"ireg_primary_ria",2.5
"LVA",2021,"ireg_primary_ria",2.18
"LVA",2021,"ireg_secondary_ria",2.11
"LTU",2021,"ireg_primary_ria",2.91
"LTU",2021,"ireg_secondary_ria",1.92
"LUX",2021,"ireg_secondary_ria",1.93
"NOR",2021,"ireg_primary_ria",2.16
"POL",2021,"ireg_primary_ria",2.09
"ESP",2021,"ireg_primary_ria",2.5
"SWE",2021,"ireg_secondary_ria",2.13
"TUR",2021,"ireg_secondary_ria",0.56
"GBR",2021,"ireg_secondary_ria",3.64
"USA",2021,"ireg_secondary_ria",2.76
"BGR",2021,"ireg_primary_ria",2.08
"BGR",2021,"ireg_secondary_ria",1.89
"HRV",2021,"ireg_primary_ria",2.76
"HRV",2021,"ireg_secondary_ria",0.36
"CYP",2021,"ireg_primary_ria",1.6
"CYP",2021,"ireg_secondary_ria",0.51
"MLT",2021,"ireg_primary_ria",1.2
"MLT",2021,"ireg_secondary_ria",2.03
"ROU",2021,"ireg_primary_ria",1.93
"ROU",2021,"ireg_secondary_ria",1.85
"CZE",2021,"ireg_primary_ria",2.76
"CZE",2021,"ireg_secondary_ria",2.73
"DNK",2021,"ireg_primary_ria",1.98
"DNK",2021,"ireg_secondary_ria",1.37
"EST",2021,"ireg_primary_ria",3.1
"EST",2021,"ireg_secondary_ria",2.59
"FIN",2021,"ireg_primary_ria",2.22
"FIN",2021,"ireg_secondary_ria",1.47
"FRA",2021,"ireg_primary_ria",2.22
"DEU",2021,"ireg_primary_ria",2.88
"DEU",2021,"ireg_secondary_ria",2.68
"GRC",2021,"ireg_secondary_ria",0.6
"HUN",2021,"ireg_primary_ria",2.05
"ISL",2021,"ireg_primary_ria",1.8
"ISL",2021,"ireg_secondary_ria",0.61
"IRL",2021,"ireg_primary_ria",1.98
"IRL",2021,"ireg_secondary_ria",1.78
"ISR",2021,"ireg_primary_ria",2.03
"ISR",2021,"ireg_secondary_ria",1.98
"ITA",2021,"ireg_secondary_ria",2.31
"JPN",2021,"ireg_primary_ria",2.31
"JPN",2021,"ireg_secondary_ria",2.28
"KOR",2021,"ireg_primary_ria",3.44
"KOR",2021,"ireg_secondary_ria",3.43
"LUX",2021,"ireg_primary_ria",2.02
"MEX",2021,"ireg_primary_ria",3.27
"MEX",2021,"ireg_secondary_ria",3.32
"NLD",2021,"ireg_primary_ria",1.8
"NLD",2021,"ireg_secondary_ria",1.68
"NZL",2021,"ireg_primary_ria",2.55
"NZL",2021,"ireg_secondary_ria",2.59
"NOR",2021,"ireg_secondary_ria",2.18
"POL",2021,"ireg_secondary_ria",1.94
"PRT",2021,"ireg_primary_ria",1
"PRT",2021,"ireg_secondary_ria",1.91
"SVK",2021,"ireg_primary_ria",2.77
"SVK",2021,"ireg_secondary_ria",2.62
"SVN",2021,"ireg_primary_ria",2.24
"SVN",2021,"ireg_secondary_ria",1.15
"ESP",2021,"ireg_secondary_ria",2.43
"SWE",2021,"ireg_primary_ria",2.14
"CHE",2021,"ireg_primary_ria",2.96
"CHE",2021,"ireg_secondary_ria",2.93
"GBR",2021,"ireg_primary_ria",3.65
"AUS",2021,"ireg_primary_stakeholders",2.85
"AUS",2021,"ireg_secondary_stakeholders",2.61
"AUT",2021,"ireg_primary_stakeholders",1.58
"AUT",2021,"ireg_secondary_stakeholders",1
"BEL",2021,"ireg_primary_stakeholders",1.99
"BEL",2021,"ireg_secondary_stakeholders",1.97
"CAN",2021,"ireg_secondary_stakeholders",3.15
"CHL",2021,"ireg_secondary_stakeholders",1.29
"CZE",2021,"ireg_primary_stakeholders",1.61
"CZE",2021,"ireg_secondary_stakeholders",1.56
"DNK",2021,"ireg_primary_stakeholders",2.03
"DNK",2021,"ireg_secondary_stakeholders",1.64
"EST",2021,"ireg_secondary_stakeholders",2.31
"FIN",2021,"ireg_primary_stakeholders",2.44
"FIN",2021,"ireg_secondary_stakeholders",2.18
"CAN",2021,"ireg_primary_stakeholders",2.59
"CHL",2021,"ireg_primary_stakeholders",1.15
"COL",2021,"ireg_primary_stakeholders",0.99
"COL",2021,"ireg_secondary_stakeholders",2.02
"CRI",2021,"ireg_primary_stakeholders",1.9
"CRI",2021,"ireg_secondary_stakeholders",2.46
"EST",2021,"ireg_primary_stakeholders",2.72
"GRC",2021,"ireg_primary_stakeholders",2.47
"ISL",2021,"ireg_primary_stakeholders",3.25
"LVA",2021,"ireg_primary_stakeholders",2.76
"LVA",2021,"ireg_secondary_stakeholders",2.76
"LTU",2021,"ireg_primary_stakeholders",2.46
"LTU",2021,"ireg_secondary_stakeholders",2.32
"MEX",2021,"ireg_primary_stakeholders",2.93
"POL",2021,"ireg_primary_stakeholders",2.83
"POL",2021,"ireg_secondary_stakeholders",2.38
"CHE",2021,"ireg_primary_stakeholders",2.45
"BGR",2021,"ireg_primary_stakeholders",2.82
"BGR",2021,"ireg_secondary_stakeholders",2.82
"HRV",2021,"ireg_primary_stakeholders",3.06
"HRV",2021,"ireg_secondary_stakeholders",2.87
"CYP",2021,"ireg_primary_stakeholders",1.66
"CYP",2021,"ireg_secondary_stakeholders",0.74
"MLT",2021,"ireg_primary_stakeholders",2.26
"MLT",2021,"ireg_secondary_stakeholders",2.28
"ROU",2021,"ireg_primary_stakeholders",2.49
"ROU",2021,"ireg_secondary_stakeholders",2.41
"FRA",2021,"ireg_primary_stakeholders",1.91
"FRA",2021,"ireg_secondary_stakeholders",2.21
"DEU",2021,"ireg_primary_stakeholders",1.78
"DEU",2021,"ireg_secondary_stakeholders",1.74
"GRC",2021,"ireg_secondary_stakeholders",1.51
"HUN",2021,"ireg_primary_stakeholders",1.18
"HUN",2021,"ireg_secondary_stakeholders",1.18
"ISL",2021,"ireg_secondary_stakeholders",1.65
"IRL",2021,"ireg_primary_stakeholders",1.42
"IRL",2021,"ireg_secondary_stakeholders",0.75
"ISR",2021,"ireg_primary_stakeholders",2.74
"ISR",2021,"ireg_secondary_stakeholders",2.74
"ITA",2021,"ireg_primary_stakeholders",2.59
"ITA",2021,"ireg_secondary_stakeholders",2.49
"JPN",2021,"ireg_primary_stakeholders",0.57
"JPN",2021,"ireg_secondary_stakeholders",1.99
"KOR",2021,"ireg_primary_stakeholders",3.04
"KOR",2021,"ireg_secondary_stakeholders",3.04
"LUX",2021,"ireg_primary_stakeholders",1.48
"LUX",2021,"ireg_secondary_stakeholders",1.44
"MEX",2021,"ireg_secondary_stakeholders",3.15
"NLD",2021,"ireg_primary_stakeholders",2.9
