"cc_iso3c","ref_year","variable","value"
"AUS",2022,"our_data_availability",0.44
"AUS",2022,"our_data_accessibility",0.27
"AUS",2022,"our_data_reuse",0.29
"AUT",2022,"our_data_availability",0.23
"AUT",2022,"our_data_accessibility",0.75
"AUT",2022,"our_data_reuse",0.34
"BEL",2022,"our_data_availability",0.27
"BEL",2022,"our_data_accessibility",0.49
"BEL",2022,"our_data_reuse",0.19
"BRA",2022,"our_data_availability",0.6
"BRA",2022,"our_data_accessibility",0.64
"BRA",2022,"our_data_reuse",0.45
"CAN",2022,"our_data_availability",0.54
"CAN",2022,"our_data_accessibility",0.7
"CAN",2022,"our_data_reuse",0.57
"CHE",2022,"our_data_availability",0.49
"CHE",2022,"our_data_accessibility",0.55
"CHE",2022,"our_data_reuse",0.39
"CHL",2022,"our_data_availability",0.18
"CHL",2022,"our_data_accessibility",0.22
"CHL",2022,"our_data_reuse",0
"COL",2022,"our_data_availability",0.59
"COL",2022,"our_data_accessibility",0.41
"COL",2022,"our_data_reuse",0.64
"CRI",2022,"our_data_availability",0.07
"CRI",2022,"our_data_accessibility",0.47
"CRI",2022,"our_data_reuse",0.04
"CZE",2022,"our_data_availability",0.61
"CZE",2022,"our_data_accessibility",0.57
"CZE",2022,"our_data_reuse",0.41
"DEU",2022,"our_data_availability",0.31
"DEU",2022,"our_data_accessibility",0.64
"DEU",2022,"our_data_reuse",0.22
"DNK",2022,"our_data_availability",0.73
"DNK",2022,"our_data_accessibility",0.68
"DNK",2022,"our_data_reuse",0.57
"ESP",2022,"our_data_availability",0.62
"ESP",2022,"our_data_accessibility",0.78
"ESP",2022,"our_data_reuse",0.85
"EST",2022,"our_data_availability",0.72
"EST",2022,"our_data_accessibility",0.85
"EST",2022,"our_data_reuse",0.72
"FIN",2022,"our_data_availability",0.59
"FIN",2022,"our_data_accessibility",0.7
"FIN",2022,"our_data_reuse",0.33
"FRA",2022,"our_data_availability",0.89
"FRA",2022,"our_data_accessibility",0.85
"FRA",2022,"our_data_reuse",0.75
"GBR",2022,"our_data_availability",0.49
"GBR",2022,"our_data_accessibility",0.42
"GBR",2022,"our_data_reuse",0.23
"GRC",2022,"our_data_availability",0.3
"GRC",2022,"our_data_accessibility",0.37
"GRC",2022,"our_data_reuse",0.03
"HRV",2022,"our_data_availability",0.35
"HRV",2022,"our_data_accessibility",0.6
"HRV",2022,"our_data_reuse",0.2
"IRL",2022,"our_data_availability",0.66
"IRL",2022,"our_data_accessibility",0.66
"IRL",2022,"our_data_reuse",0.75
"ISL",2022,"our_data_availability",0.3
"ISL",2022,"our_data_accessibility",0.26
"ISL",2022,"our_data_reuse",0.07
"ISR",2022,"our_data_availability",0.34
"ISR",2022,"our_data_accessibility",0.73
"ISR",2022,"our_data_reuse",0.04
"ITA",2022,"our_data_availability",0.44
"ITA",2022,"our_data_accessibility",0.67
"ITA",2022,"our_data_reuse",0.32
"JPN",2022,"our_data_availability",0.5
"JPN",2022,"our_data_accessibility",0.24
"JPN",2022,"our_data_reuse",0.37
"KOR",2022,"our_data_availability",0.84
"KOR",2022,"our_data_accessibility",0.9
"KOR",2022,"our_data_reuse",1
"LTU",2022,"our_data_availability",0.71
"LTU",2022,"our_data_accessibility",0.72
"LTU",2022,"our_data_reuse",0.49
"LUX",2022,"our_data_availability",0.33
"LUX",2022,"our_data_accessibility",0.72
"LUX",2022,"our_data_reuse",0.17
"LVA",2022,"our_data_availability",0.42
"LVA",2022,"our_data_accessibility",0.51
"LVA",2022,"our_data_reuse",0.15
"MEX",2022,"our_data_availability",0.35
"MEX",2022,"our_data_accessibility",0.39
"MEX",2022,"our_data_reuse",0.07
"NLD",2022,"our_data_availability",0.32
"NLD",2022,"our_data_accessibility",0.73
"NLD",2022,"our_data_reuse",0.2
"NOR",2022,"our_data_availability",0.65
"NOR",2022,"our_data_accessibility",0.89
"NOR",2022,"our_data_reuse",0.38
"NZL",2022,"our_data_availability",0.29
"NZL",2022,"our_data_accessibility",0.51
"NZL",2022,"our_data_reuse",0.18
"PER",2022,"our_data_availability",0.52
"PER",2022,"our_data_accessibility",0.49
"PER",2022,"our_data_reuse",0.56
"POL",2022,"our_data_availability",0.64
"POL",2022,"our_data_accessibility",0.96
"POL",2022,"our_data_reuse",0.75
"PRT",2022,"our_data_availability",0.33
"PRT",2022,"our_data_accessibility",0.69
"PRT",2022,"our_data_reuse",0.17
"ROU",2022,"our_data_availability",0.26
"ROU",2022,"our_data_accessibility",0.59
"ROU",2022,"our_data_reuse",0.28
"SVK",2022,"our_data_availability",0.56
"SVK",2022,"our_data_accessibility",0.64
"SVK",2022,"our_data_reuse",0.2
"SVN",2022,"our_data_availability",0.67
"SVN",2022,"our_data_accessibility",0.73
"SVN",2022,"our_data_reuse",0.61
"SWE",2022,"our_data_availability",0.66
"SWE",2022,"our_data_accessibility",0.73
"SWE",2022,"our_data_reuse",0.58
"TUR",2022,"our_data_availability",0.14
"TUR",2022,"our_data_accessibility",0
"TUR",2022,"our_data_reuse",0.14
