"cc_iso3c","ref_year","variable","value"
"ARG",2023,"pii_integrity_framework",3.75
"ARG",2023,"pii_control_regulations",2.6
"ARG",2023,"pii_internal_audit",2.87
"ARG",2023,"pii_control_oversight",1.56
"ARG",2023,"pii_control_practices",0.5
"ARG",2022,"pii_openness_regulations",0.69
"ARG",2022,"pii_officials_postemployment",0
"ARG",2022,"pii_lobbying_regulations",0.75
"ARG",2022,"pii_openness_functions",0.88
"ARG",2022,"pii_open_decisions",0.33
"ARG",2022,"pii_consultation_practices",0
"ARG",2022,"pii_conflict_of_interest",0.67
"ARG",2022,"pii_lobbying_transparency",0
"ARG",2022,"pii_proactive_disclosures",0.67
"AUS",2023,"pii_integrity_framework",0.6799999999999999
"AUS",2023,"pii_control_regulations",1.7
"AUS",2023,"pii_internal_audit",0
"AUS",2023,"pii_control_oversight",0
"AUS",2023,"pii_control_practices",0.69
"AUS",2022,"pii_openness_regulations",0.46
"AUS",2022,"pii_officials_postemployment",0
"AUS",2022,"pii_lobbying_regulations",0.67
"AUS",2022,"pii_openness_functions",0.88
"AUS",2022,"pii_open_decisions",0
"AUS",2022,"pii_consultation_practices",0
"AUS",2022,"pii_conflict_of_interest",0.33
"AUS",2022,"pii_lobbying_transparency",0.56
"AUS",2022,"pii_proactive_disclosures",0.6
"AUT",2023,"pii_integrity_framework",3.6399999999999997
"AUT",2023,"pii_control_regulations",0.4
"AUT",2023,"pii_internal_audit",0
"AUT",2023,"pii_control_oversight",0.38
"AUT",2023,"pii_control_practices",0
"AUT",2022,"pii_openness_regulations",0.23
"AUT",2022,"pii_officials_postemployment",0
"AUT",2022,"pii_lobbying_regulations",0.75
"AUT",2022,"pii_openness_functions",0
"AUT",2022,"pii_open_decisions",0.33
"AUT",2022,"pii_consultation_practices",0
"AUT",2022,"pii_conflict_of_interest",0.22
"AUT",2022,"pii_lobbying_transparency",0.78
"AUT",2022,"pii_proactive_disclosures",0.53
"BRA",2023,"pii_integrity_framework",2.13
"BRA",2022,"pii_openness_regulations",0.54
"BRA",2022,"pii_officials_postemployment",0.68
"BRA",2022,"pii_lobbying_regulations",0.83
"BRA",2022,"pii_openness_functions",0.63
"BRA",2022,"pii_open_decisions",0
"BRA",2022,"pii_consultation_practices",0
"BRA",2022,"pii_conflict_of_interest",0
"BRA",2022,"pii_lobbying_transparency",0
"BRA",2022,"pii_proactive_disclosures",0.47
"CAN",2023,"pii_integrity_framework",0
"CAN",2023,"pii_control_regulations",2.2
"CAN",2023,"pii_internal_audit",0.72
