"cc_iso3c","ref_year","variable","value"
"AUS",2020,"pslc_proactive_recruitment",0.39
"AUS",2020,"pslc_senior_management",0.49
"AUS",2020,"pslc_diverse_workforce",0.59
"AUT",2020,"pslc_proactive_recruitment",0.49
"AUT",2020,"pslc_senior_management",0.45
"AUT",2020,"pslc_diverse_workforce",0.55
"BEL",2020,"pslc_proactive_recruitment",0.46
"BEL",2020,"pslc_senior_management",0.52
"BEL",2020,"pslc_diverse_workforce",0.52
"CAN",2020,"pslc_proactive_recruitment",0.74
"CAN",2020,"pslc_senior_management",0.84
"CAN",2020,"pslc_diverse_workforce",0.68
"CZE",2020,"pslc_proactive_recruitment",0.34
"CZE",2020,"pslc_senior_management",0.39
"CZE",2020,"pslc_diverse_workforce",0.44
"DNK",2020,"pslc_proactive_recruitment",0.27
"DNK",2020,"pslc_senior_management",0.37
"DNK",2020,"pslc_diverse_workforce",0.2
"FIN",2020,"pslc_proactive_recruitment",0.55
"FIN",2020,"pslc_senior_management",0.45
"FIN",2020,"pslc_diverse_workforce",0.45
"FRA",2020,"pslc_proactive_recruitment",0.58
"FRA",2020,"pslc_senior_management",0.62
"FRA",2020,"pslc_diverse_workforce",0.63
"DEU",2020,"pslc_proactive_recruitment",0.42
"DEU",2020,"pslc_senior_management",0.29
"DEU",2020,"pslc_diverse_workforce",0.53
"GRC",2020,"pslc_proactive_recruitment",0.31
"GRC",2020,"pslc_senior_management",0.66
"GRC",2020,"pslc_diverse_workforce",0.62
"HUN",2020,"pslc_proactive_recruitment",0.69
"HUN",2020,"pslc_senior_management",0.33
"HUN",2020,"pslc_diverse_workforce",0.54
"IRL",2020,"pslc_proactive_recruitment",0.51
"IRL",2020,"pslc_senior_management",0.62
"IRL",2020,"pslc_diverse_workforce",0.6
"ITA",2020,"pslc_proactive_recruitment",0.29
"ITA",2020,"pslc_senior_management",0.52
"ITA",2020,"pslc_diverse_workforce",0.42
"JPN",2020,"pslc_proactive_recruitment",0.49
"JPN",2020,"pslc_senior_management",0.36
"JPN",2020,"pslc_diverse_workforce",0.38
"KOR",2020,"pslc_proactive_recruitment",0.69
"KOR",2020,"pslc_senior_management",0.74
"KOR",2020,"pslc_diverse_workforce",0.57
"LUX",2020,"pslc_proactive_recruitment",0.18
"LUX",2020,"pslc_senior_management",0.45
"LUX",2020,"pslc_diverse_workforce",0.32
"MEX",2020,"pslc_proactive_recruitment",0.42
"MEX",2020,"pslc_senior_management",0.66
"MEX",2020,"pslc_diverse_workforce",0.55
"NLD",2020,"pslc_proactive_recruitment",0.66
"NLD",2020,"pslc_senior_management",0.6
"NLD",2020,"pslc_diverse_workforce",0.62
"NZL",2020,"pslc_proactive_recruitment",0.69
"NZL",2020,"pslc_senior_management",0.54
"NZL",2020,"pslc_diverse_workforce",0.73
"NOR",2020,"pslc_proactive_recruitment",0.46
"NOR",2020,"pslc_senior_management",0.35
"NOR",2020,"pslc_diverse_workforce",0.46
"POL",2020,"pslc_proactive_recruitment",0.39
"POL",2020,"pslc_senior_management",0.23
"POL",2020,"pslc_diverse_workforce",0.38
"PRT",2020,"pslc_proactive_recruitment",0.2
"PRT",2020,"pslc_senior_management",0.52
"PRT",2020,"pslc_diverse_workforce",0.43
"SVK",2020,"pslc_proactive_recruitment",0.14
"SVK",2020,"pslc_diverse_workforce",0.27
"ESP",2020,"pslc_proactive_recruitment",0.31
"ESP",2020,"pslc_senior_management",0.3
"ESP",2020,"pslc_diverse_workforce",0.45
"SWE",2020,"pslc_proactive_recruitment",0.46
"SWE",2020,"pslc_senior_management",0.58
"SWE",2020,"pslc_diverse_workforce",0.43
"CHE",2020,"pslc_proactive_recruitment",0.66
"CHE",2020,"pslc_senior_management",0.36
"CHE",2020,"pslc_diverse_workforce",0.58
"TUR",2020,"pslc_proactive_recruitment",0.13
"TUR",2020,"pslc_senior_management",0.22
"TUR",2020,"pslc_diverse_workforce",0.32
"GBR",2020,"pslc_proactive_recruitment",0.66
"GBR",2020,"pslc_senior_management",0.82
"GBR",2020,"pslc_diverse_workforce",0.78
"USA",2020,"pslc_proactive_recruitment",0.24
"USA",2020,"pslc_senior_management",0.42
"USA",2020,"pslc_diverse_workforce",0.4
"BRA",2020,"pslc_proactive_recruitment",0.1
"BRA",2020,"pslc_senior_management",0.19
"BRA",2020,"pslc_diverse_workforce",0.37
"COL",2020,"pslc_proactive_recruitment",0.48
"COL",2020,"pslc_senior_management",0.5
"COL",2020,"pslc_diverse_workforce",0.53
"CRI",2020,"pslc_proactive_recruitment",0.52
"CRI",2020,"pslc_senior_management",0.48
"CRI",2020,"pslc_diverse_workforce",0.48
"EST",2020,"pslc_proactive_recruitment",0.68
"EST",2020,"pslc_senior_management",0.48
"EST",2020,"pslc_diverse_workforce",0.4
"ISR",2020,"pslc_proactive_recruitment",0.57
"ISR",2020,"pslc_senior_management",0.72
"ISR",2020,"pslc_diverse_workforce",0.69
"LVA",2020,"pslc_proactive_recruitment",0.34
"LVA",2020,"pslc_senior_management",0.63
"LVA",2020,"pslc_diverse_workforce",0.43
"LTU",2020,"pslc_proactive_recruitment",0.24
"LTU",2020,"pslc_senior_management",0.52
"LTU",2020,"pslc_diverse_workforce",0.38
"ROU",2020,"pslc_proactive_recruitment",0.09
"ROU",2020,"pslc_senior_management",0.27
"ROU",2020,"pslc_diverse_workforce",0.28
"SVN",2020,"pslc_proactive_recruitment",0.04
"SVN",2020,"pslc_senior_management",0.25
"SVN",2020,"pslc_diverse_workforce",0.31
