"cc_iso3c","ref_year","variable","value"
"CZE",2022,"pslc_flexible_working",4.5
"FIN",2022,"pslc_flexible_working",5
"HUN",2022,"pslc_flexible_working",3.75
"KOR",2022,"pslc_flexible_working",5
"LTU",2022,"pslc_flexible_working",5
"LUX",2022,"pslc_flexible_working",2.5
"POL",2022,"pslc_flexible_working",5
"SVK",2022,"pslc_flexible_working",4
"SVN",2022,"pslc_flexible_working",3.25
"AUT",2022,"pslc_flexible_working",3.5
"BEL",2022,"pslc_flexible_working",3
"CAN",2022,"pslc_flexible_working",2.75
"CHE",2022,"pslc_flexible_working",3.5
"DEU",2022,"pslc_flexible_working",3
"EST",2022,"pslc_flexible_working",3.25
"FRA",2022,"pslc_flexible_working",3.5
"GBR",2022,"pslc_flexible_working",4.25
"JPN",2022,"pslc_flexible_working",3.75
"NLD",2022,"pslc_flexible_working",4.5
"NOR",2022,"pslc_flexible_working",3.75
"PRT",2022,"pslc_flexible_working",3.25
"SWE",2022,"pslc_flexible_working",3.25
"AUS",2022,"pslc_flexible_working",3.5
"CRI",2022,"pslc_flexible_working",2.5
"GRC",2022,"pslc_flexible_working",1.5
"ISL",2022,"pslc_flexible_working",3.25
"ITA",2022,"pslc_flexible_working",2.5
"MEX",2022,"pslc_flexible_working",2
"TUR",2022,"pslc_flexible_working",3
"COL",2022,"pslc_flexible_working",1.75
"CHL",2022,"pslc_flexible_working",1.5
"DNK",2022,"pslc_flexible_working",3
"LVA",2022,"pslc_flexible_working",3.25
"NZL",2022,"pslc_flexible_working",4
"ISR",2022,"pslc_flexible_working",1.5
"ESP",2022,"pslc_flexible_working",1.5
"AUT",2022,"pslc_mobility_practices",3.5
"CAN",2022,"pslc_mobility_practices",4.5
"CRI",2022,"pslc_mobility_practices",4.25
"JPN",2022,"pslc_mobility_practices",3.5
"AUS",2022,"pslc_mobility_practices",4.5
"NLD",2022,"pslc_mobility_practices",4.25
"FIN",2022,"pslc_mobility_practices",3.25
"ESP",2022,"pslc_mobility_practices",2.75
"FRA",2022,"pslc_mobility_practices",3.25
"EST",2022,"pslc_mobility_practices",3.5
"IRL",2022,"pslc_mobility_practices",3.75
"KOR",2022,"pslc_mobility_practices",4
"LVA",2022,"pslc_mobility_practices",4
"GBR",2022,"pslc_mobility_practices",4.25
"NZL",2022,"pslc_mobility_practices",4
"ISR",2022,"pslc_mobility_practices",2.25
"POL",2022,"pslc_mobility_practices",3.5
"ITA",2022,"pslc_mobility_practices",3.25
"TUR",2022,"pslc_mobility_practices",4
"BEL",2022,"pslc_mobility_practices",3.25
"CHE",2022,"pslc_mobility_practices",2.5
"CHL",2022,"pslc_mobility_practices",2.5
"COL",2022,"pslc_mobility_practices",1.5
"CZE",2022,"pslc_mobility_practices",2.25
"GRC",2022,"pslc_mobility_practices",3
"HUN",2022,"pslc_mobility_practices",1.5
"ISL",2022,"pslc_mobility_practices",3.5
"LUX",2022,"pslc_mobility_practices",3.5
"LTU",2022,"pslc_mobility_practices",0.5
"MEX",2022,"pslc_mobility_practices",2
"NOR",2022,"pslc_mobility_practices",3.25
"SVK",2022,"pslc_mobility_practices",3.25
"PRT",2022,"pslc_mobility_practices",2.5
"SVN",2022,"pslc_mobility_practices",3.5
"SWE",2022,"pslc_mobility_practices",3
"DNK",2022,"pslc_mobility_practices",1
"BRA",2022,"pslc_mobility_practices",2
"BGR",2022,"pslc_mobility_practices",2
"HRV",2022,"pslc_mobility_practices",2.5
"ROU",2022,"pslc_mobility_practices",0.5
"CHE",2022,"pslc_learning_development",3.5
"GRC",2022,"pslc_learning_development",5.5
"ITA",2022,"pslc_learning_development",4.5
"LVA",2022,"pslc_learning_development",3.5
"PRT",2022,"pslc_learning_development",4.5
"AUS",2022,"pslc_learning_development",6
"CAN",2022,"pslc_learning_development",4
"CHL",2022,"pslc_learning_development",5
"CRI",2022,"pslc_learning_development",5
"CZE",2022,"pslc_learning_development",4
"ESP",2022,"pslc_learning_development",6
"EST",2022,"pslc_learning_development",5
"FRA",2022,"pslc_learning_development",5
"GBR",2022,"pslc_learning_development",5
"HUN",2022,"pslc_learning_development",6
"JPN",2022,"pslc_learning_development",3
"KOR",2022,"pslc_learning_development",5
"LUX",2022,"pslc_learning_development",5
"MEX",2022,"pslc_learning_development",4
"NLD",2022,"pslc_learning_development",4
"NOR",2022,"pslc_learning_development",4
"POL",2022,"pslc_learning_development",4
"TUR",2022,"pslc_learning_development",5
"COL",2022,"pslc_learning_development",6.75
"IRL",2022,"pslc_learning_development",3.75
"DEU",2022,"pslc_learning_development",4.75
"FIN",2022,"pslc_learning_development",4.75
"ISR",2022,"pslc_learning_development",3.75
"SVN",2022,"pslc_learning_development",1.75
"SVK",2022,"pslc_learning_development",4.75
"SWE",2022,"pslc_learning_development",2.75
"AUT",2022,"pslc_learning_development",1.25
"BEL",2022,"pslc_learning_development",3.25
"DNK",2022,"pslc_learning_development",5.25
"ISL",2022,"pslc_learning_development",4.25
"LTU",2022,"pslc_learning_development",0.25
"NZL",2022,"pslc_learning_development",4.25
"BRA",2022,"pslc_learning_development",2
"BGR",2022,"pslc_learning_development",3
"HRV",2022,"pslc_learning_development",1
"ROU",2022,"pslc_learning_development",1
