"cc_iso3c","ref_year","variable","value"
"SAU","2019","p21_statistics_usage",50.01745077
"KWT","2019","p21_statistics_usage",27.97079924
"HKG","2019","p21_statistics_usage",28.3686493
"ZMB","2020","p21_statistics_usage",40.91508865356445
"ZWE","2020","p21_statistics_usage",42.40689849853516
"YEM","2020","p21_statistics_usage",21.16530990600586
"VNM","2020","p21_statistics_usage",14.33884429931641
"VEN","2020","p21_statistics_usage",14.37068271636963
"VUT","2020","p21_statistics_usage",27.12146377563477
"UZB","2020","p21_statistics_usage",40.59554672241211
"URY","2020","p21_statistics_usage",27.42144584655762
"USA","2020","p21_statistics_usage",16.2556209564209
"TZA","2020","p21_statistics_usage",9.073236465454102
"GBR","2020","p21_statistics_usage",22.46380996704102
"ARE","2020","p21_statistics_usage",5.502181529998779
"UKR","2020","p21_statistics_usage",21.43773460388184
"UGA","2020","p21_statistics_usage",5.581219673156738
"TUV","2020","p21_statistics_usage",19.81973457336426
"TKM","2020","p21_statistics_usage",15.38536643981934
"TUR","2020","p21_statistics_usage",8.740462303161621
"TUN","2020","p21_statistics_usage",30.8178882598877
"TTO","2020","p21_statistics_usage",15.46642589569092
"TON","2020","p21_statistics_usage",10.35660552978516
"TGO","2020","p21_statistics_usage",40.78316116333008
"TLS","2020","p21_statistics_usage",12.57047176361084
"MKD","2020","p21_statistics_usage",40.04013824462891
"THA","2020","p21_statistics_usage",20.59262084960938
"TJK","2020","p21_statistics_usage",34.76537322998047
"CHE","2020","p21_statistics_usage",20.67948341369629
"SUR","2020","p21_statistics_usage",21.12210464477539
"SDN","2020","p21_statistics_usage",22.25055503845215
"PSE","2020","p21_statistics_usage",45.21182632446289
"LKA","2020","p21_statistics_usage",8.211669921875
"ESP","2020","p21_statistics_usage",28.28334617614746
"SSD","2020","p21_statistics_usage",22.34724998474121
"ZAF","2020","p21_statistics_usage",14.52214050292969
"SOM","2020","p21_statistics_usage",36.58716583251953
"SLB","2020","p21_statistics_usage",9.146785736083984
"SVN","2020","p21_statistics_usage",47.98854064941406
"SVK","2020","p21_statistics_usage",37.57622528076172
"SGP","2020","p21_statistics_usage",22.82271575927734
"SLE","2020","p21_statistics_usage",35.37680053710938
"SYC","2020","p21_statistics_usage",28.65567588806152
"SRB","2020","p21_statistics_usage",76.45191955566406
"SEN","2020","p21_statistics_usage",33.35222244262695
"STP","2020","p21_statistics_usage",16.81058883666992
"WSM","2020","p21_statistics_usage",14.95097541809082
"VCT","2020","p21_statistics_usage",25.0504322052002
"LCA","2020","p21_statistics_usage",25.05222129821777
"KNA","2020","p21_statistics_usage",39.23469543457031
"RWA","2020","p21_statistics_usage",29.67826271057129
"MDA","2020","p21_statistics_usage",34.51077651977539
"KOR","2020","p21_statistics_usage",19.32958030700684
"QAT","2020","p21_statistics_usage",58.97028350830078
"POL","2020","p21_statistics_usage",18.58591461181641
"PHL","2020","p21_statistics_usage",9.27625560760498
"PER","2020","p21_statistics_usage",22.59931945800781
"PRY","2020","p21_statistics_usage",29.42454719543457
"PNG","2020","p21_statistics_usage",58.42167282104492
"PAN","2020","p21_statistics_usage",68.8521499633789
"PLW","2020","p21_statistics_usage",13.92862606048584
"PAK","2020","p21_statistics_usage",57.00152587890625
"OMN","2020","p21_statistics_usage",79.13953399658203
"NOR","2020","p21_statistics_usage",65.75164031982422
"NGA","2020","p21_statistics_usage",22.77629470825195
"NER","2020","p21_statistics_usage",39.20417022705078
"NIC","2020","p21_statistics_usage",33.30173873901367
"NZL","2020","p21_statistics_usage",14.62882518768311
"NLD","2020","p21_statistics_usage",3.408624172210693
"NPL","2020","p21_statistics_usage",35.0929069519043
"NRU","2020","p21_statistics_usage",13.35890960693359
"NAM","2020","p21_statistics_usage",4.845909595489502
"MMR","2020","p21_statistics_usage",60.32890701293945
"MOZ","2020","p21_statistics_usage",14.50918197631836
"MAR","2020","p21_statistics_usage",22.52835845947266
"MSR","2020","p21_statistics_usage",20.38805770874023
"MNE","2020","p21_statistics_usage",7.135381698608398
"MNG","2020","p21_statistics_usage",46.67673110961914
"FSM","2020","p21_statistics_usage",13.11827278137207
"MEX","2020","p21_statistics_usage",9.18160915374756
"MUS","2020","p21_statistics_usage",13.58992958068848
"MRT","2020","p21_statistics_usage",39.40488815307617
"MHL","2020","p21_statistics_usage",16.20402145385742
"MLT","2020","p21_statistics_usage",6.825936794281006
"MLI","2020","p21_statistics_usage",17.86210441589355
"MDV","2020","p21_statistics_usage",16.93844032287598
