"cc_iso3c","ref_year","variable","value"
"AFG",2019,"sfm_ddr_strategies",0.725
"ALB",2022,"sfm_ddr_strategies",0.9
"DZA",2023,"sfm_ddr_strategies",0.75
"AGO",2018,"sfm_ddr_strategies",0.425
"ATG",2019,"sfm_ddr_strategies",0.6
"AZE",2017,"sfm_ddr_strategies",0
"ARG",2018,"sfm_ddr_strategies",0.75
"AUS",2022,"sfm_ddr_strategies",0.6
"AUT",2018,"sfm_ddr_strategies",0.55
"BHR",2021,"sfm_ddr_strategies",0.65
"BGD",2021,"sfm_ddr_strategies",0
"ARM",2022,"sfm_ddr_strategies",1
"BRB",2019,"sfm_ddr_strategies",1
"BEL",2022,"sfm_ddr_strategies",0.05
"BTN",2018,"sfm_ddr_strategies",0.5
"BOL",2021,"sfm_ddr_strategies",0.3
"BWA",2022,"sfm_ddr_strategies",0.05
"SLB",2022,"sfm_ddr_strategies",0.175
"BRN",2018,"sfm_ddr_strategies",0.05
"BGR",2022,"sfm_ddr_strategies",0.05
"MMR",2021,"sfm_ddr_strategies",0.05
"BDI",2022,"sfm_ddr_strategies",0.75
"BLR",2022,"sfm_ddr_strategies",0.925
"KHM",2019,"sfm_ddr_strategies",0.65
"CMR",2019,"sfm_ddr_strategies",0
"CAN",2021,"sfm_ddr_strategies",0.95
"CPV",2021,"sfm_ddr_strategies",0.7
"LKA",2020,"sfm_ddr_strategies",0.925
"CHL",2021,"sfm_ddr_strategies",0.9
"CHN",2020,"sfm_ddr_strategies",1
"COL",2022,"sfm_ddr_strategies",1
"COM",2020,"sfm_ddr_strategies",0
"CRI",2022,"sfm_ddr_strategies",1
"CZE",2017,"sfm_ddr_strategies",0.925
"BEN",2020,"sfm_ddr_strategies",0.25
"DNK",2019,"sfm_ddr_strategies",0
"ECU",2021,"sfm_ddr_strategies",0.55
"ETH",2019,"sfm_ddr_strategies",1
"EST",2019,"sfm_ddr_strategies",0.925
"FJI",2022,"sfm_ddr_strategies",0.975
"FIN",2019,"sfm_ddr_strategies",0.75
"FRA",2022,"sfm_ddr_strategies",0.65
"GEO",2023,"sfm_ddr_strategies",0.975
"GMB",2021,"sfm_ddr_strategies",0.05
"PSE",2018,"sfm_ddr_strategies",0.4
"DEU",2019,"sfm_ddr_strategies",0.575
"GHA",2022,"sfm_ddr_strategies",0.675
"KIR",2021,"sfm_ddr_strategies",0.925
"GRD",2019,"sfm_ddr_strategies",0.925
"GTM",2022,"sfm_ddr_strategies",0.7
"GUY",2019,"sfm_ddr_strategies",0.6
"HTI",2019,"sfm_ddr_strategies",0.5
"HUN",2022,"sfm_ddr_strategies",0.9
"IND",2020,"sfm_ddr_strategies",1
"IDN",2021,"sfm_ddr_strategies",0.975
"IRQ",2018,"sfm_ddr_strategies",0.85
"IRL",2017,"sfm_ddr_strategies",0.4
"ITA",2022,"sfm_ddr_strategies",0.575
"CIV",2020,"sfm_ddr_strategies",0.5
"JAM",2023,"sfm_ddr_strategies",0.05
"JPN",2022,"sfm_ddr_strategies",1
"KAZ",2021,"sfm_ddr_strategies",0.775
"JOR",2022,"sfm_ddr_strategies",0.875
"KEN",2019,"sfm_ddr_strategies",0.9
"KOR",2021,"sfm_ddr_strategies",1
"KWT",2017,"sfm_ddr_strategies",0.5
"KGZ",2019,"sfm_ddr_strategies",0.9
"LAO",2021,"sfm_ddr_strategies",0.025
"LBN",2019,"sfm_ddr_strategies",0.65
"LBR",2020,"sfm_ddr_strategies",0.975
"LTU",2021,"sfm_ddr_strategies",0.7
"MWI",2022,"sfm_ddr_strategies",0.1
"MYS",2021,"sfm_ddr_strategies",0.7
"MDV",2017,"sfm_ddr_strategies",0
"MUS",2022,"sfm_ddr_strategies",0.975
"MEX",2022,"sfm_ddr_strategies",0.775
"MCO",2018,"sfm_ddr_strategies",0.6
"MNG",2021,"sfm_ddr_strategies",1
"MNE",2023,"sfm_ddr_strategies",0.775
"MAR",2022,"sfm_ddr_strategies",0.75
"MOZ",2017,"sfm_ddr_strategies",0.675
"NAM",2022,"sfm_ddr_strategies",0.975
"NRU",2022,"sfm_ddr_strategies",0.55
"NPL",2022,"sfm_ddr_strategies",0.075
"NLD",2017,"sfm_ddr_strategies",0.9
"VUT",2021,"sfm_ddr_strategies",0.6
"NZL",2022,"sfm_ddr_strategies",0.9
"NER",2018,"sfm_ddr_strategies",0.325
"NOR",2019,"sfm_ddr_strategies",0.975
"FSM",2021,"sfm_ddr_strategies",0.425
"MHL",2020,"sfm_ddr_strategies",0
"PLW",2021,"sfm_ddr_strategies",0.725
"PAK",2020,"sfm_ddr_strategies",0.8
"PAN",2019,"sfm_ddr_strategies",0.275
"PNG",2020,"sfm_ddr_strategies",0.775
"PRY",2018,"sfm_ddr_strategies",0.6
"PER",2021,"sfm_ddr_strategies",1
"PHL",2022,"sfm_ddr_strategies",1
"POL",2022,"sfm_ddr_strategies",0.875
"PRT",2022,"sfm_ddr_strategies",0.925
"QAT",2023,"sfm_ddr_strategies",1
"ROU",2019,"sfm_ddr_strategies",0
"RUS",2022,"sfm_ddr_strategies",0.925
"LCA",2019,"sfm_ddr_strategies",0.825
"VCT",2019,"sfm_ddr_strategies",0.525
"SAU",2021,"sfm_ddr_strategies",0.05
"SRB",2022,"sfm_ddr_strategies",0.325
"SVK",2017,"sfm_ddr_strategies",0.375
"SVN",2022,"sfm_ddr_strategies",0.6
"SOM",2018,"sfm_ddr_strategies",0.75
"ZAF",2020,"sfm_ddr_strategies",0.475
"ZWE",2022,"sfm_ddr_strategies",0.8
"SDN",2019,"sfm_ddr_strategies",0.55
"SWZ",2022,"sfm_ddr_strategies",0.7
"SWE",2019,"sfm_ddr_strategies",0
"CHE",2022,"sfm_ddr_strategies",0.75
"TJK",2020,"sfm_ddr_strategies",1
