"cc_iso3c","ref_year","variable","value"
"MEX",2023,"vdem_favours",-0.231
"MEX",2023,"vdem_theft",-0.281
"MEX",2023,"vdem_impartial",-0.313
"MEX",2023,"vdem_nepotism",-0.226
"MEX",2023,"vdem_jobs_econ",-0.476
"MEX",2023,"vdem_jobs_gender",-0.053
"MEX",2023,"vdem_jobs_location",-0.038
"MEX",2023,"vdem_jobs_political",-0.143
"MEX",2023,"vdem_jobs_social",0.17
"SUR",2023,"vdem_favours",0.528
"SUR",2023,"vdem_theft",0.796
"SUR",2023,"vdem_impartial",0.483
"SUR",2023,"vdem_nepotism",0.026
"SUR",2023,"vdem_jobs_econ",0.75
"SUR",2023,"vdem_jobs_gender",1.514
"SUR",2023,"vdem_jobs_location",0.532
"SUR",2023,"vdem_jobs_political",-0.019
"SUR",2023,"vdem_jobs_social",0.011
"SWE",2023,"vdem_favours",2.289
"SWE",2023,"vdem_theft",2.78
"SWE",2023,"vdem_impartial",2.867
"SWE",2023,"vdem_nepotism",2.064
"SWE",2023,"vdem_jobs_econ",2.157
"SWE",2023,"vdem_jobs_gender",3.295
"SWE",2023,"vdem_jobs_location",2.21
"SWE",2023,"vdem_jobs_political",2.459
"SWE",2023,"vdem_jobs_social",3.29
"CHE",2023,"vdem_favours",3.205
"CHE",2023,"vdem_theft",2.951
"CHE",2023,"vdem_impartial",3.558
"CHE",2023,"vdem_nepotism",1.459
"CHE",2023,"vdem_jobs_econ",2.814
"CHE",2023,"vdem_jobs_gender",2.309
"CHE",2023,"vdem_jobs_location",1.752
"CHE",2023,"vdem_jobs_political",2.94
"CHE",2023,"vdem_jobs_social",2.473
"GHA",2023,"vdem_favours",-1
"GHA",2023,"vdem_theft",-0.776
"GHA",2023,"vdem_impartial",-1.044
"GHA",2023,"vdem_nepotism",0.126
"GHA",2023,"vdem_jobs_econ",2.189
"GHA",2023,"vdem_jobs_gender",2.822
"GHA",2023,"vdem_jobs_location",0.655
"GHA",2023,"vdem_jobs_political",1.308
"GHA",2023,"vdem_jobs_social",1.453
"ZAF",2023,"vdem_favours",-0.647
"ZAF",2023,"vdem_theft",-0.872
"ZAF",2023,"vdem_impartial",1.203
"ZAF",2023,"vdem_nepotism",0.838
"ZAF",2023,"vdem_jobs_econ",1.153
"ZAF",2023,"vdem_jobs_gender",1.091
"ZAF",2023,"vdem_jobs_location",0.675
"ZAF",2023,"vdem_jobs_political",1.102
"ZAF",2023,"vdem_jobs_social",0.774
"JPN",2023,"vdem_favours",2.065
"JPN",2023,"vdem_theft",2.288
"JPN",2023,"vdem_impartial",1.638
"JPN",2023,"vdem_nepotism",1.797
"JPN",2023,"vdem_jobs_econ",2.551
"JPN",2023,"vdem_jobs_gender",2.193
