"cc_iso3c","ref_year","variable","value"
"AFG",2022,"gtmi_backend",0.75
"AFG",2022,"gtmi_fiscal",4.5
"AFG",2022,"gtmi_taxmi",1
"AFG",2022,"gtmi_customsmi",1
"AFG",2022,"gtmi_hrmis",1.5
"AFG",2022,"gtmi_pims",0
"AFG",2022,"gtmi_opensource",1.75
"AFG",2022,"gtmi_portal",0
"AFG",2022,"gtmi_opengov",0
"AFG",2022,"gtmi_opendata",0
"AFG",2022,"gtmi_participation",1
"AFG",2022,"gtmi_feedback",0
"AFG",2022,"gtmi_engagement",0
"AFG",2022,"gtmi_govtech",1
"AFG",2022,"gtmi_datagovernance",0
"AFG",2022,"gtmi_right2info",2
"AFG",2022,"gtmi_dataprivacy",0
"AFG",2022,"gtmi_digitalskills",2.5
"AFG",2022,"gtmi_pubsecinv",1
"AFG",2022,"gtmi_data_exchange",3
"AFG",2022,"gtmi_system_governance",0
"AFG",2022,"gtmi_socsecmi",1
"AFG",2022,"gtmi_eprocurement",1.75
"AFG",2022,"gtmi_user_centric",0
"AFG",2022,"gtmi_taxportal",1
"AFG",2022,"gtmi_epayments",3
"AFG",2022,"gtmi_customsportal",0
"AFG",2022,"gtmi_socsecportal",0.75
"AFG",2022,"gtmi_jobportal",2
"ALB",2022,"gtmi_backend",7.5
"ALB",2022,"gtmi_fiscal",4.5
"ALB",2022,"gtmi_taxmi",1
"ALB",2022,"gtmi_customsmi",1
"ALB",2022,"gtmi_hrmis",3
"ALB",2022,"gtmi_pims",1
"ALB",2022,"gtmi_opensource",0
"ALB",2022,"gtmi_portal",3
"ALB",2022,"gtmi_opengov",1.25
"ALB",2022,"gtmi_opendata",4
"ALB",2022,"gtmi_participation",3
"ALB",2022,"gtmi_feedback",2
"ALB",2022,"gtmi_engagement",3
"ALB",2022,"gtmi_govtech",7.75
"ALB",2022,"gtmi_datagovernance",0
"ALB",2022,"gtmi_right2info",2
"ALB",2022,"gtmi_dataprivacy",5
"ALB",2022,"gtmi_digitalskills",1.75
"ALB",2022,"gtmi_pubsecinv",4.75
"ALB",2022,"gtmi_data_exchange",6
"ALB",2022,"gtmi_system_governance",0.75
"ALB",2022,"gtmi_socsecmi",2.75
"ALB",2022,"gtmi_eprocurement",2
"ALB",2022,"gtmi_user_centric",3
"ALB",2022,"gtmi_taxportal",2.75
"ALB",2022,"gtmi_epayments",3
"ALB",2022,"gtmi_customsportal",0.75
"ALB",2022,"gtmi_socsecportal",0.75
"ALB",2022,"gtmi_jobportal",2
"DZA",2022,"gtmi_backend",2.25
"DZA",2022,"gtmi_fiscal",4.5
"DZA",2022,"gtmi_taxmi",1
"DZA",2022,"gtmi_customsmi",1
"DZA",2022,"gtmi_hrmis",2.25
"DZA",2022,"gtmi_pims",0
"DZA",2022,"gtmi_opensource",0
"DZA",2022,"gtmi_portal",2.5
"DZA",2022,"gtmi_opengov",0
"DZA",2022,"gtmi_opendata",1
"DZA",2022,"gtmi_participation",4
"DZA",2022,"gtmi_feedback",0
"DZA",2022,"gtmi_engagement",0
"DZA",2022,"gtmi_govtech",5
"DZA",2022,"gtmi_datagovernance",0
"DZA",2022,"gtmi_right2info",0.5
"DZA",2022,"gtmi_dataprivacy",3
"DZA",2022,"gtmi_digitalskills",2.25
"DZA",2022,"gtmi_pubsecinv",5
"DZA",2022,"gtmi_data_exchange",5
"DZA",2022,"gtmi_system_governance",1.5
"DZA",2022,"gtmi_socsecmi",3
"DZA",2022,"gtmi_eprocurement",2
"DZA",2022,"gtmi_user_centric",3
"DZA",2022,"gtmi_taxportal",1
"DZA",2022,"gtmi_epayments",2.75
"DZA",2022,"gtmi_customsportal",1.5
"DZA",2022,"gtmi_socsecportal",2
"DZA",2022,"gtmi_jobportal",2
"AND",2022,"gtmi_backend",0.5
"AND",2022,"gtmi_fiscal",2
"AND",2022,"gtmi_taxmi",1
"AND",2022,"gtmi_customsmi",0
"AND",2022,"gtmi_hrmis",0
"AND",2022,"gtmi_pims",0
"AND",2022,"gtmi_opensource",0
"AND",2022,"gtmi_portal",1
"AND",2022,"gtmi_opengov",0
"AND",2022,"gtmi_opendata",0
"AND",2022,"gtmi_participation",0
"AND",2022,"gtmi_feedback",0
"AND",2022,"gtmi_engagement",0
"AND",2022,"gtmi_govtech",0.75
"AND",2022,"gtmi_datagovernance",0
"AND",2022,"gtmi_right2info",0
"AND",2022,"gtmi_dataprivacy",3
"AND",2022,"gtmi_digitalskills",0
"AND",2022,"gtmi_pubsecinv",0
"AND",2022,"gtmi_data_exchange",1
"AND",2022,"gtmi_system_governance",0
"AND",2022,"gtmi_socsecmi",0.5
"AND",2022,"gtmi_eprocurement",0
"AND",2022,"gtmi_user_centric",0
"AND",2022,"gtmi_taxportal",1.75
"AND",2022,"gtmi_epayments",0.75
"AND",2022,"gtmi_customsportal",0
"AND",2022,"gtmi_socsecportal",0.75
"AND",2022,"gtmi_jobportal",0
"AGO",2022,"gtmi_backend",0
"AGO",2022,"gtmi_fiscal",1.75
"AGO",2022,"gtmi_taxmi",1
"AGO",2022,"gtmi_customsmi",1
"AGO",2022,"gtmi_hrmis",2
"AGO",2022,"gtmi_pims",1
"AGO",2022,"gtmi_opensource",0
"AGO",2022,"gtmi_portal",2.5
"AGO",2022,"gtmi_opengov",0
"AGO",2022,"gtmi_opendata",0
"AGO",2022,"gtmi_participation",0
"AGO",2022,"gtmi_feedback",3
"AGO",2022,"gtmi_engagement",0
"AGO",2022,"gtmi_govtech",6
"AGO",2022,"gtmi_datagovernance",2.5
"AGO",2022,"gtmi_right2info",1
"AGO",2022,"gtmi_dataprivacy",2
"AGO",2022,"gtmi_digitalskills",3.5
"AGO",2022,"gtmi_pubsecinv",1
"AGO",2022,"gtmi_data_exchange",1
"AGO",2022,"gtmi_system_governance",2
"AGO",2022,"gtmi_socsecmi",2.75
"AGO",2022,"gtmi_eprocurement",0.75
"AGO",2022,"gtmi_user_centric",0
"AGO",2022,"gtmi_taxportal",2
"AGO",2022,"gtmi_epayments",2.5
"AGO",2022,"gtmi_customsportal",2
"AGO",2022,"gtmi_socsecportal",0.75
"AGO",2022,"gtmi_jobportal",0
"ATG",2022,"gtmi_backend",1
"ATG",2022,"gtmi_fiscal",3
"ATG",2022,"gtmi_taxmi",1
"ATG",2022,"gtmi_customsmi",1
"ATG",2022,"gtmi_hrmis",2.75
