"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2020",108.65,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2020",6.34,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2020",1.41,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2020",94.45,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2020",5.51,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2020",1.23,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2020",226.07,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2020",13.19,,"I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2020",2.94,,"I11:264_T30:110","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2021",1017.17,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_PPP","2021",4.87,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_USD","2021",1.61,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_LCU","2021",991.29,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_PPP","2021",4.74,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_M","CUR_TYPE_USD","2021",1.57,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_LCU","2021",1100.95,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_PPP","2021",5.27,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_F","CUR_TYPE_USD","2021",1.74,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_4HPS_SEX_CUR_NB","SEX_T","CUR_TYPE_LCU","2019",1143.76,,"I11:264_T30:2","R1:3513"
