"ref_area","source","indicator","sex","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","EAR_HUBL_SEX_NB","SEX_T","2020",108.65,"B","I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_HUBL_SEX_NB","SEX_M","2020",94.45,"B","I11:264_T30:110","R1:3513"
"AFG","BA:15715","EAR_HUBL_SEX_NB","SEX_F","2020",226.07,"B","I11:264_T30:110","R1:3513"
"AGO","BA:13951","EAR_HUBL_SEX_NB","SEX_T","2021",1017.17,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_HUBL_SEX_NB","SEX_M","2021",991.29,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_HUBL_SEX_NB","SEX_F","2021",1100.95,,"T30:2","R1:3513"
"AGO","BA:13951","EAR_HUBL_SEX_NB","SEX_T","2019",1143.76,"B","I11:264_T30:2","R1:3513"
"AGO","BA:13951","EAR_HUBL_SEX_NB","SEX_M","2019",1153.24,"B","I11:264_T30:2","R1:3513"
"AGO","BA:13951","EAR_HUBL_SEX_NB","SEX_F","2019",1113.67,"B","I11:264_T30:2","R1:3513"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_T","2023",1709.39,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_M","2023",1719.58,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_F","2023",1700.74,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_T","2022",743.29,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_M","2022",729.82,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_F","2022",754.79,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_T","2021",481.44,,"T30:61","R1:3513_S4:33"
"ARG","BA:150","EAR_HUBL_SEX_NB","SEX_M","2021",494.75,,"T30:61","R1:3513_S4:33"
