"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2021",642.833,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2021",354.238,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2021",40.682,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2021",35.417,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2021",212.496,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2021",591.751,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2021",305.832,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2021",40.206,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2021",33.217,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2021",212.496,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2021",51.082,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2021",48.406,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2021",0,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2021",642.833,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2021",56.321,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2021",247.956,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2021",49.961,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2021",23.301,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2021",8.778,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2021",2.747,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2021",35.417,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2021",200.663,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2021",11.833,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2021",591.751,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2021",52.404,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2021",205.775,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2021",47.653,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2021",22.825,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2021",8.778,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2021",2.747,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2021",33.217,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2021",200.663,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2021",11.833,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2021",51.082,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2021",42.181,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2021",2.308,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2021",0,,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_X","2021",,"U",,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2020",531.986,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2020",204.664,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2020",152.173,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2020",12.5,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2020",162.649,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2020",472.376,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2020",156.345,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2020",143.074,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2020",10.93,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2020",162.027,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2020",59.61,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L3-4","2020",48.319,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L2","2020",9.099,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_L1","2020",1.57,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_X","2020",0.622,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_TOTAL","2020",531.986,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_1","2020",43.081,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_2","2020",148.298,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_3","2020",13.285,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_4","2020",54.127,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_5","2020",74.625,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_6","2020",5.095,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_7","2020",4.503,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_8","2020",13.823,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_9","2020",12.5,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_0","2020",159.736,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_ISCO08_X","2020",2.913,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_TOTAL","2020",472.376,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_1","2020",39.996,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_2","2020",105.23,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_3","2020",11.119,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_4","2020",50.304,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_5","2020",71.033,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_6","2020",4.26,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_7","2020",3.786,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_8","2020",13.691,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_9","2020",10.93,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_0","2020",159.132,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_ISCO08_X","2020",2.895,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_TOTAL","2020",59.61,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_1","2020",3.085,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_2","2020",43.068,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_3","2020",2.166,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_4","2020",3.823,"B",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_5","2020",3.592,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_6","2020",,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_7","2020",0.717,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_8","2020",,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_9","2020",1.57,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_0","2020",0.604,"U",,"I11:264","R1:3513"
"AFG","BA:15715","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_ISCO08_X","2020",,"U",,"I11:264","R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_TOTAL","2017",648.833,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L3-4","2017",243.746,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L2","2017",134.442,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_L1","2017",44.165,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_T","OCU_SKILL_X","2017",226.48,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_TOTAL","2017",583.529,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L3-4","2017",191.875,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L2","2017",126.078,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_L1","2017",41.672,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_M","OCU_SKILL_X","2017",223.904,,,,"R1:3513"
"AFG","BB:6361","EMP_PUBL_SEX_OCU_NB","SEX_F","OCU_SKILL_TOTAL","2017",65.304,,,,"R1:3513"
