"ref_area","source","indicator","sex","classif1","time","obs_value","obs_status","note_indicator","note_source"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",7699.765,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",642.833,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",7056.932,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2021",5868.177,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2021",591.751,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2021",5276.426,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2021",1831.588,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2021",51.082,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2021",1780.506,,,"R1:3513_S3:8"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2020",6078.509,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2020",531.986,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2020",5546.523,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2020",4937.784,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2020",472.376,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2020",4465.408,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2020",1140.725,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2020",59.61,"B","I11:264","R1:3513"
"AFG","BA:15715","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2020",1081.115,"B","I11:264","R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",6396.534,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",648.833,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",5747.701,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2017",5018.31,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2017",583.529,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2017",4434.781,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2017",1378.224,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2017",65.304,,,"R1:3513"
"AFG","BB:6361","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2017",1312.92,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2021",11108.53,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2021",948.327,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2021",10160.203,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2021",5447.86,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2021",716.539,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2021",4731.322,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2021",5660.669,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2021",231.788,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2021",5428.881,,,"R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",10213.36,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",980.726,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",9232.634,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2019",5029.802,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2019",740.025,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2019",4289.777,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2019",5183.558,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2019",240.701,"B","I11:264","R1:3513"
"AGO","BA:13951","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2019",4942.857,"B","I11:264","R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2019",1264.67,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2019",182.608,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2019",1082.062,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2019",702.194,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2019",91.922,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2019",610.271,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2019",562.476,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2019",90.685,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2019",471.791,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2018",1228.957,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2018",185.313,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2018",1043.644,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2018",689.436,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2018",94.26,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PRI","2018",595.176,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_TOTAL","2018",539.522,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PUB","2018",91.053,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_F","INS_SECTOR_PRI","2018",448.469,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_TOTAL","2017",1191.733,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PUB","2017",187.036,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_T","INS_SECTOR_PRI","2017",1004.698,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_TOTAL","2017",677.134,,,"R1:3513"
"ALB","BA:480","EMP_TEMP_SEX_INS_NB","SEX_M","INS_SECTOR_PUB","2017",94.075,,,"R1:3513"
