"ref_area","source","indicator","classif1","time","obs_value","obs_status","note_classif","note_indicator","note_source"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2022",184.114,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2021",183.255,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2021",39.452,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2021",73.344,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2021",32.048,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2021",1.844,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PUBCORP","2021",36.568,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2020",175.443,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GG","2020",0,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2020",37.857,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2020",55.006,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2020",42.348,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2020",0.314,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PUBCORP","2020",39.918,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2020",0,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2019",172.745,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GG","2019",132.78,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2019",24.583,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2019",68.438,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2019",38.939,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2019",0.82,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PUBCORP","2019",39.965,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2019",0,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2018",169.865,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GG","2018",105.428,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2018",24.12,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2018",67.15,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2018",12.8,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2018",1.358,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PUBCORP","2018",64.437,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2018",0,,,,"S9:259"
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2017",164.339,,,,
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GG","2017",104.125,,,,
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2017",23.626,,,,
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2017",66.729,,,,
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2017",12.456,,,,
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2017",1.314,,,,
"ALB","FA:13364","PSE_TPSE_GOV_NB","GOV_LVL_PUBCORP","2017",60.214,,,,
"ARG","BA:150","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2016",2040.384,,,,"S3:11_S4:33"
"ARG","BA:150","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2016",11459.25,,,,"S3:11_S4:33"
"ARM","FX:15740","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2019",200.289,,,,"S8:1619_S9:66"
"ARM","FX:15740","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2019",598.237,,,,"S8:1619_S9:66"
"AUS","DA:15745","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2019",2041.2,,,,"S3:17"
"AUS","DA:15745","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2018",2046.7,,,,"S3:17"
"AUS","DA:15745","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2017",1987,,,,"S3:17"
"AUS","DA:15745","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2016",1957.7,,,,"S3:17"
"AUS","DA:15745","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2015",1928.1,,,,"S3:17"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2021",772,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2021",4551,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2020",765,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2020",4461,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2019",757,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2019",4535,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2018",753,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2018",4487,,,,"S10:3598"
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2017",745,,,,
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2017",4413,,,,
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2016",736,,,,
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2016",4341,,,,
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_PSE","2015",726,,,,
"AUT","JA:3444","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2015",4286,,,,
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GG","2021",917.1,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2021",128.8,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2021",437.7,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2021",321.9,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2021",28.8,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2021",4989.2,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GG","2020",904.1,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2020",127.9,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2020",429.1,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2020",318.8,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2020",28.3,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_TOTAL","2020",4898.4,,,,"S10:3598"
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GG","2019",897.5,,,,
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGCENTRAL","2019",127.1,,,,
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGREGION","2019",422.4,,,,
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGLOCAL","2019",319.4,,,,
"BEL","JA:3371","PSE_TPSE_GOV_NB","GOV_LVL_GGSS","2019",28.5,,,,
