Year,Region,Region code,Country,Country Code,Data categories,Indicator coverage and disaggregation,Data available last 5 years,Data available last 10 years,First administrative level,Second administrative level,Machine readable,Non-proprietary,Download options,Metadata available,Terms of use,Overall score
2022,"Eastern Africa","AFE","Burundi","BDI","Population & vital statistics",0,0,0,0,0,0,1,0,0.5,0,1.5
2022,"Eastern Africa","AFE","Burundi","BDI","Education facilities",0.5,0.5,0.5,0,0,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Burundi","BDI","Education outcomes",0.5,0.5,0.5,0.5,0,0,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Burundi","BDI","Health facilities",0.5,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Burundi","BDI","Health outcomes",0.5,0.5,0.5,0,0,0.5,1,0.5,0.5,0,4
2022,"Eastern Africa","AFE","Burundi","BDI","Reproductive health",1,0.5,0.5,0,0,0.5,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Burundi","BDI","Food security & nutrition",1,0.5,0.5,0,-,0.5,1,0.5,0.5,0,5
2022,"Eastern Africa","AFE","Burundi","BDI","Gender statistics",0.5,0.5,0.5,0,0,1,1,1,1,0,5.5
2022,"Eastern Africa","AFE","Burundi","BDI","Crime & justice",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Burundi","BDI","Poverty & income",1,0.5,0,1,0,0,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Burundi","BDI","National accounts",0.5,0.5,0.5,0,-,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Burundi","BDI","Labor",0,0,0,0,0,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Burundi","BDI","Price indexes",1,1,1,0.5,-,0.5,1,0.5,0.5,0.5,7
2022,"Eastern Africa","AFE","Burundi","BDI","Government finance",1,1,1,0,-,0,1,0.5,0.5,0,5.5
2022,"Eastern Africa","AFE","Burundi","BDI","Money & banking",0.5,0.5,0.5,-,-,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Burundi","BDI","International trade",0.5,0.5,0.5,-,-,0,1,0.5,0.5,0,4.5
2022,"Eastern Africa","AFE","Burundi","BDI","Balance of payments",1,1,1,-,-,0,1,0.5,0.5,0,6
2022,"Eastern Africa","AFE","Burundi","BDI","Agriculture and land use",1,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0,5
2022,"Eastern Africa","AFE","Burundi","BDI","Resource use",1,1,1,0,-,0,1,0.5,0.5,0,5.5
2022,"Eastern Africa","AFE","Burundi","BDI","Energy",0.5,0.5,0.5,-,-,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Burundi","BDI","Pollution",0,0,0,0,-,0,0,0,0,0,0
2022,"Eastern Africa","AFE","Burundi","BDI","Built environment",1,0.5,0.5,0.5,0,0.5,1,0.5,0.5,0.5,5.5
2022,"Eastern Africa","AFE","Burundi","BDI","All Categories",13.5,11,10.5,4.5,3,4.5,19,9.5,10,1,86.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Population & vital statistics",0.5,0.5,0.5,0,0,0,1,0.5,0.5,0,3.5
2022,"Eastern Africa","AFE","Djibouti","DJI","Education facilities",0.5,0.5,0.5,0,0,0,1,0,0.5,0,3
2022,"Eastern Africa","AFE","Djibouti","DJI","Education outcomes",0.5,0.5,0.5,0,0,0,1,0,0.5,0,3
