"cc_iso3c","ref_year","variable","value"
"KOR",2023,"digital_design",0.971
"KOR",2023,"data_driven",1
"KOR",2023,"govt_as_platform",0.913
"KOR",2023,"open_default",0.882
"KOR",2023,"user_driven",0.909
"KOR",2023,"proactiveness",0.934
"KOR",2023,"composite_index",0.935
"KOR",2023,"composite_rank",1
"DNK",2023,"digital_design",0.851
"DNK",2023,"data_driven",0.833
"DNK",2023,"govt_as_platform",0.896
"DNK",2023,"open_default",0.783
"DNK",2023,"user_driven",0.715
"DNK",2023,"proactiveness",0.788
"DNK",2023,"composite_index",0.811
"DNK",2023,"composite_rank",2
"GBR",2023,"digital_design",0.914
"GBR",2023,"data_driven",0.598
"GBR",2023,"govt_as_platform",0.696
"GBR",2023,"open_default",0.667
"GBR",2023,"user_driven",0.925
"GBR",2023,"proactiveness",0.853
"GBR",2023,"composite_index",0.775
"GBR",2023,"composite_rank",3
"NOR",2023,"digital_design",0.758
"NOR",2023,"data_driven",0.851
"NOR",2023,"govt_as_platform",0.818
"NOR",2023,"open_default",0.588
"NOR",2023,"user_driven",0.853
"NOR",2023,"proactiveness",0.75
"NOR",2023,"composite_index",0.77
"NOR",2023,"composite_rank",4
"AUS",2023,"digital_design",0.973
"AUS",2023,"data_driven",0.774
"AUS",2023,"govt_as_platform",0.738
"AUS",2023,"open_default",0.466
"AUS",2023,"user_driven",0.833
"AUS",2023,"proactiveness",0.736
"AUS",2023,"composite_index",0.753
"AUS",2023,"composite_rank",5
"EST",2023,"digital_design",0.692
"EST",2023,"data_driven",0.949
"EST",2023,"govt_as_platform",0.705
"EST",2023,"open_default",0.623
"EST",2023,"user_driven",0.614
"EST",2023,"proactiveness",0.869
"EST",2023,"composite_index",0.742
"EST",2023,"composite_rank",6
"COL",2023,"digital_design",0.814
"COL",2023,"data_driven",0.794
"COL",2023,"govt_as_platform",0.654
"COL",2023,"open_default",0.731
"COL",2023,"user_driven",0.775
"COL",2023,"proactiveness",0.647
"COL",2023,"composite_index",0.736
"COL",2023,"composite_rank",7
"IRL",2023,"digital_design",0.844
"IRL",2023,"data_driven",0.861
"IRL",2023,"govt_as_platform",0.632
"IRL",2023,"open_default",0.56
"IRL",2023,"user_driven",0.684
"IRL",2023,"proactiveness",0.701
"IRL",2023,"composite_index",0.714
"IRL",2023,"composite_rank",8
"FRA",2023,"digital_design",0.677
"FRA",2023,"data_driven",0.816
"FRA",2023,"govt_as_platform",0.577
"FRA",2023,"open_default",0.761
"FRA",2023,"user_driven",0.595
"FRA",2023,"proactiveness",0.561
"FRA",2023,"composite_index",0.665
"FRA",2023,"composite_rank",9
"CAN",2023,"digital_design",0.829
"CAN",2023,"data_driven",0.64
"CAN",2023,"govt_as_platform",0.436
"CAN",2023,"open_default",0.727
"CAN",2023,"user_driven",0.749
"CAN",2023,"proactiveness",0.547
"CAN",2023,"composite_index",0.655
"CAN",2023,"composite_rank",10
"PRT",2023,"digital_design",0.77
"PRT",2023,"data_driven",0.555
"PRT",2023,"govt_as_platform",0.593
"PRT",2023,"open_default",0.493
"PRT",2023,"user_driven",0.809
"PRT",2023,"proactiveness",0.618
"PRT",2023,"composite_index",0.64
"PRT",2023,"composite_rank",11
"FIN",2023,"digital_design",0.721
"FIN",2023,"data_driven",0.679
"FIN",2023,"govt_as_platform",0.676
"FIN",2023,"open_default",0.428
"FIN",2023,"user_driven",0.667
"FIN",2023,"proactiveness",0.663
"FIN",2023,"composite_index",0.639
"FIN",2023,"composite_rank",12
"ISL",2023,"digital_design",0.676
"ISL",2023,"data_driven",0.597
"ISL",2023,"govt_as_platform",0.659
"ISL",2023,"open_default",0.503
"ISL",2023,"user_driven",0.668
"ISL",2023,"proactiveness",0.713
"ISL",2023,"composite_index",0.636
"ISL",2023,"composite_rank",13
"LTU",2023,"digital_design",0.59
"LTU",2023,"data_driven",0.753
"LTU",2023,"govt_as_platform",0.651
"LTU",2023,"open_default",0.561
"LTU",2023,"user_driven",0.619
"LTU",2023,"proactiveness",0.477
"LTU",2023,"composite_index",0.608
