STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,MEASURE,UNIT_MEASURE,SECTOR,EDITION,REGULATORY_CATEGORY,CATEGORY,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,PRICE_BASE,BASE_PER
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,P,REG,2017,3.19,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,S,REG,2017,3.22,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,P_M,REG,2017,0.83,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,P_O,REG,2017,0.75,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,P_SA,REG,2021,0.79,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,P_TR,REG,2017,0.73,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,S_M,REG,2017,0.83,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,S_O,REG,2017,0.75,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,S_SA,REG,2017,0.9,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUS,EPE,IX,_Z,2023,S_TR,REG,2017,0.73,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,P,REG,2017,1.91,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,S,REG,2017,1.91,A,0,_Z,
DATAFLOW,OECD.GOV.GIP:DSD_GOV_REG@DF_GOV_REG_2023(1.0),I,A,AUT,EPE,IX,_Z,2023,P_M,REG,2017,0.78,A,0,_Z,
