"code_list","code_list_nm","agency_id","version","is_final","code_value","code_text"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","A","Assets (or net acquisition of assets)"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","B","Balance (revenue minus expenditure)"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","C","Revenue"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","D","Expenditure"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","L","Liabilities (or net incurrence of liabilities)"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","N","Net (assets minus liabilities)"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","DIV","Disinvestment (sales of equity)"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","INV","Investment (purchase of equity)"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","NET_FDI","Net FDI"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","_X","Unspecified"
"CL_ACCOUNTING_ENTRY","Code list for accounting entries","OECD","1.0","true","_Z","Not applicable"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","AUS","Australia"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","AUT","Austria"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","BEL","Belgium"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","CAN","Canada"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","CHL","Chile"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","COL","Colombia"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","CRI","Costa Rica"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","CZE","Czechia"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","DNK","Denmark"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","EST","Estonia"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","FIN","Finland"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","FRA","France"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","DEU","Germany"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","GRC","Greece"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","HUN","Hungary"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","ISL","Iceland"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","IRL","Ireland"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","ISR","Israel"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","ITA","Italy"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","JPN","Japan"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","KOR","Korea"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","LVA","Latvia"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","LTU","Lithuania"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","LUX","Luxembourg"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","MEX","Mexico"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","NLD","Netherlands"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","NZL","New Zealand"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","NOR","Norway"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","POL","Poland"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","PRT","Portugal"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","SVK","Slovak Republic"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","SVN","Slovenia"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","ESP","Spain"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","SWE","Sweden"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","CHE","Switzerland"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","TUR","Türkiye"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","GBR","United Kingdom"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","USA","United States"
"CL_AREA","Codelist for reference areas and geocoding","OECD","1.1","true","G4E","Major four European countries"
