"cc_iso3c","ref_year","variable","value"
"AUS",2022,"availability_implementation",0.38
"AUS",2022,"availability_policy",0.38
"AUS",2022,"availability_release",0.55
"AUS",2022,"availability_score",0.44
"AUS",2022,"accessibility_implementation",0.61
"AUS",2022,"accessibility_policy",0
"AUS",2022,"accessibility_release",0.19
"AUS",2022,"accessibility_score",0.27
"AUS",2022,"reuse_dataliteracy",0.5
"AUS",2022,"reuse_monitoring",0.08
"AUS",2022,"reuse_promotion",0.28
"AUS",2022,"reuse_score",0.29
"AUT",2022,"availability_implementation",0.36
"AUT",2022,"availability_policy",0.21
"AUT",2022,"availability_release",0.14
"AUT",2022,"availability_score",0.23
"AUT",2022,"accessibility_implementation",0.89
"AUT",2022,"accessibility_policy",0.75
"AUT",2022,"accessibility_release",0.6
"AUT",2022,"accessibility_score",0.75
"AUT",2022,"reuse_dataliteracy",0.54
"AUT",2022,"reuse_monitoring",0.33
"AUT",2022,"reuse_promotion",0.15
"AUT",2022,"reuse_score",0.34
"BEL",2022,"availability_implementation",0.36
"BEL",2022,"availability_policy",0.4
"BEL",2022,"availability_release",0.06
"BEL",2022,"availability_score",0.27
"BEL",2022,"accessibility_implementation",0.66
"BEL",2022,"accessibility_policy",0.5
"BEL",2022,"accessibility_release",0.31
"BEL",2022,"accessibility_score",0.49
"BEL",2022,"reuse_dataliteracy",0.13
"BEL",2022,"reuse_monitoring",0.33
"BEL",2022,"reuse_promotion",0.13
"BEL",2022,"reuse_score",0.19
"BRA",2022,"availability_implementation",0.43
"BRA",2022,"availability_policy",0.84
"BRA",2022,"availability_release",0.53
"BRA",2022,"availability_score",0.6
"BRA",2022,"accessibility_implementation",0.64
"BRA",2022,"accessibility_policy",0.75
"BRA",2022,"accessibility_release",0.54
"BRA",2022,"accessibility_score",0.64
"BRA",2022,"reuse_dataliteracy",0.88
"BRA",2022,"reuse_monitoring",0.17
"BRA",2022,"reuse_promotion",0.31
"BRA",2022,"reuse_score",0.45
"CAN",2022,"availability_implementation",0.54
"CAN",2022,"availability_policy",0.77
"CAN",2022,"availability_release",0.32
"CAN",2022,"availability_score",0.54
"CAN",2022,"accessibility_implementation",0.92
"CAN",2022,"accessibility_policy",0.67
"CAN",2022,"accessibility_release",0.5
"CAN",2022,"accessibility_score",0.7
"CAN",2022,"reuse_dataliteracy",0.63
"CAN",2022,"reuse_monitoring",0.5
"CAN",2022,"reuse_promotion",0.58
"CAN",2022,"reuse_score",0.57
"CHE",2022,"availability_implementation",0.64
"CHE",2022,"availability_policy",0.53
"CHE",2022,"availability_release",0.28
"CHE",2022,"availability_score",0.49
"CHE",2022,"accessibility_implementation",0.71
"CHE",2022,"accessibility_policy",0.67
"CHE",2022,"accessibility_release",0.28
"CHE",2022,"accessibility_score",0.55
"CHE",2022,"reuse_dataliteracy",0.69
"CHE",2022,"reuse_monitoring",0.25
"CHE",2022,"reuse_promotion",0.23
"CHE",2022,"reuse_score",0.39
"CHL",2022,"availability_implementation",0.1
"CHL",2022,"availability_policy",0.41
"CHL",2022,"availability_release",0.03
"CHL",2022,"availability_score",0.18
"CHL",2022,"accessibility_implementation",0.65
"CHL",2022,"accessibility_policy",0
"CHL",2022,"accessibility_release",0
"CHL",2022,"accessibility_score",0.22
"CHL",2022,"reuse_dataliteracy",0
"CHL",2022,"reuse_monitoring",0
"CHL",2022,"reuse_promotion",0
"CHL",2022,"reuse_score",0
"COL",2022,"availability_implementation",0.7
"COL",2022,"availability_policy",0.8
"COL",2022,"availability_release",0.26
"COL",2022,"availability_score",0.59
"COL",2022,"accessibility_implementation",0.87
"COL",2022,"accessibility_policy",0
"COL",2022,"accessibility_release",0.35
"COL",2022,"accessibility_score",0.41
"COL",2022,"reuse_dataliteracy",0.91
"COL",2022,"reuse_monitoring",0.5
"COL",2022,"reuse_promotion",0.52
"COL",2022,"reuse_score",0.64
"CRI",2022,"availability_implementation",0.02
"CRI",2022,"availability_policy",0.2
"CRI",2022,"availability_release",0
"CRI",2022,"availability_score",0.07
"CRI",2022,"accessibility_implementation",0.4
"CRI",2022,"accessibility_policy",1
"CRI",2022,"accessibility_release",0
"CRI",2022,"accessibility_score",0.47
"CRI",2022,"reuse_dataliteracy",0.13
"CRI",2022,"reuse_monitoring",0
"CRI",2022,"reuse_promotion",0
"CRI",2022,"reuse_score",0.04
"CZE",2022,"availability_implementation",0.45
"CZE",2022,"availability_policy",0.83
"CZE",2022,"availability_release",0.54
"CZE",2022,"availability_score",0.61
"CZE",2022,"accessibility_implementation",0.81
"CZE",2022,"accessibility_policy",0.92
"CZE",2022,"accessibility_release",0
"CZE",2022,"accessibility_score",0.57
"CZE",2022,"reuse_dataliteracy",0.57
"CZE",2022,"reuse_monitoring",0.17
"CZE",2022,"reuse_promotion",0.49
"CZE",2022,"reuse_score",0.41
"DEU",2022,"availability_implementation",0.25
"DEU",2022,"availability_policy",0.64
"DEU",2022,"availability_release",0.05
"DEU",2022,"availability_score",0.31
"DEU",2022,"accessibility_implementation",0.7
"DEU",2022,"accessibility_policy",1
"DEU",2022,"accessibility_release",0.23
"DEU",2022,"accessibility_score",0.64
"DEU",2022,"reuse_dataliteracy",0.17
"DEU",2022,"reuse_monitoring",0.25
"DEU",2022,"reuse_promotion",0.23
"DEU",2022,"reuse_score",0.22
"DNK",2022,"availability_implementation",0.74
"DNK",2022,"availability_policy",0.73
"DNK",2022,"availability_release",0.73
"DNK",2022,"availability_score",0.73
"DNK",2022,"accessibility_implementation",0.92
"DNK",2022,"accessibility_policy",1
"DNK",2022,"accessibility_release",0.13
"DNK",2022,"accessibility_score",0.68
"DNK",2022,"reuse_dataliteracy",0.75
"DNK",2022,"reuse_monitoring",0.17
"DNK",2022,"reuse_promotion",0.8
"DNK",2022,"reuse_score",0.57
"ESP",2022,"availability_implementation",0.72
"ESP",2022,"availability_policy",0.79
"ESP",2022,"availability_release",0.35
