STRUCTURE,STRUCTURE_ID,ACTION,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,DD_DIM,DD_ID,TIME_PERIOD,OBS_VALUE,OBS_STATUS,UNIT_MULT,CRITERIA,DECIMALS,CONF_STATUS
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHL,A,PII_13,PO,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CHL,A,PII_13,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,IRL,A,PII_13,PO,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,IRL,A,PII_13,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,MEX,A,PII_13,PO,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,MEX,A,PII_13,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NLD,A,PII_13,PO,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NLD,A,PII_13,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NZL,A,PII_13,PO,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NZL,A,PII_13,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,USA,A,PII_13,PO,_T,_T,2020,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,USA,A,PII_13,PO,_T,_T,2023,,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,KOR,A,PII_131,PO,_T,_T,2020,3/7,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,KOR,A,PII_131,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PER,A,PII_131,PO,_T,_T,2020,5/7,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PER,A,PII_131,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,GRC,A,PII_132,PO,_T,_T,2020,0/3,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,GRC,A,PII_132,PO,_T,_T,2023,0/3,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CAN,A,PII_133,PO,_T,_T,2020,0/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CAN,A,PII_133,PO,_T,_T,2023,0/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CRI,A,PII_133,PO,_T,_T,2020,2/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,CRI,A,PII_133,PO,_T,_T,2023,2/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ESP,A,PII_134,PO,_T,_T,2020,0/7,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ESP,A,PII_134,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,TUR,A,PII_135,PO,_T,_T,2020,3/15,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,TUR,A,PII_135,PO,_T,_T,2023,3/15,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ARG,A,PII_136,PO,_T,_T,2020,23/100,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,ARG,A,PII_136,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,DNK,A,PII_136,PO,_T,_T,2020,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,DNK,A,PII_136,PO,_T,_T,2023,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LUX,A,PII_136,PO,_T,_T,2020,Data not provided,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,LUX,A,PII_136,PO,_T,_T,2023,Data pending,V,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NOR,A,PII_136,PO,_T,_T,2020,Not available,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,NOR,A,PII_136,PO,_T,_T,2023,Not tracking,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PRT,A,PII_136,PO,_T,_T,2020,Not available,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,PRT,A,PII_136,PO,_T,_T,2023,Not available,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUT,A,PII_137,PO,_T,_T,2020,1/4,A,0,_T,0,
DATAFLOW,OECD.GOV.PSI:DSD_PII@DF_PUBLIC_INTEGRITY(1.3),I,AUT,A,PII_137,PO,_T,_T,2023,0/4,A,0,_T,0,
